calibration_id,sensor_id,calibration_date,expiry_date,calibration_error,status
1,S001,2026-02-10,2027-02-10,0.357,Valid
2,S002,2026-02-27,2027-02-27,0.876,Calibration Error
3,S003,2026-03-01,2027-03-01,0.989,Calibration Error
4,S004,2026-01-05,2027-01-05,0.358,Valid
5,S005,2026-02-06,2026-07-15,0.186,Expired
6,S006,2026-02-19,2027-02-19,0.359,Valid
7,S007,2026-02-20,2027-02-20,0.226,Valid
8,S008,2026-01-05,2027-01-05,0.953,Calibration Error
9,S009,2026-01-20,2027-01-20,0.703,Calibration Error
10,S010,2026-02-13,2027-02-13,0.143,Valid
11,S011,2026-03-01,2027-03-01,0.058,Valid
12,S012,2026-01-05,2027-01-05,0.287,Valid
13,S013,2026-01-11,2027-01-11,0.967,Calibration Error
14,S014,2026-02-20,2027-02-20,0.21,Valid
15,S015,2026-01-01,2026-07-15,0.126,Expired
16,S016,2026-01-04,2027-01-04,0.236,Valid
17,S017,2026-02-16,2027-02-16,0.052,Valid
18,S018,2026-02-24,2027-02-24,0.171,Valid
19,S019,2026-01-17,2027-01-17,0.368,Valid
20,S020,2026-02-05,2027-02-05,0.251,Valid
21,S021,2026-02-21,2027-02-21,0.381,Valid
22,S022,2026-02-04,2027-02-04,0.136,Valid
23,S023,2026-02-27,2027-02-27,0.329,Valid
24,S024,2026-02-28,2027-02-28,0.292,Valid
25,S025,2026-02-10,2026-07-15,0.097,Expired
26,S026,2026-01-07,2027-01-07,0.126,Valid
27,S027,2026-02-02,2027-02-02,0.291,Valid
28,S028,2026-01-28,2027-01-28,0.312,Valid
29,S029,2026-01-04,2027-01-04,0.162,Valid
30,S030,2026-02-26,2027-02-26,0.252,Valid
31,S031,2026-01-20,2026-07-15,0.128,Expired
32,S032,2026-02-01,2026-07-15,0.304,Expired
33,S033,2026-02-14,2027-02-14,0.124,Valid
34,S034,2026-03-01,2027-03-01,0.391,Valid
35,S035,2026-02-15,2027-02-15,0.373,Valid
36,S036,2026-01-07,2027-01-07,0.094,Valid
37,S037,2026-02-25,2027-02-25,0.234,Valid
38,S038,2026-01-19,2026-07-15,0.398,Expired
39,S039,2026-02-20,2027-02-20,0.384,Valid
40,S040,2026-03-02,2027-03-02,0.273,Valid
41,S041,2026-02-16,2027-02-16,0.204,Valid
42,S042,2026-01-19,2027-01-19,0.336,Valid
43,S043,2026-01-08,2027-01-08,0.344,Valid
44,S044,2026-01-25,2027-01-25,0.394,Valid
45,S045,2026-02-08,2027-02-08,0.261,Valid
46,S046,2026-01-17,2027-01-17,0.136,Valid
47,S047,2026-02-01,2027-02-01,0.736,Calibration Error
48,S048,2026-02-21,2027-02-21,0.064,Valid
49,S049,2026-02-09,2027-02-09,0.217,Valid
50,S050,2026-01-03,2027-01-03,0.235,Valid
51,S051,2026-02-28,2027-02-28,0.369,Valid
52,S052,2026-02-15,2027-02-15,0.37,Valid
53,S053,2026-01-01,2027-01-01,0.317,Valid
54,S054,2026-01-29,2027-01-29,0.153,Valid
55,S055,2026-01-09,2027-01-09,0.091,Valid
56,S056,2026-02-01,2027-02-01,0.229,Valid
57,S057,2026-01-28,2027-01-28,1.142,Calibration Error
58,S058,2026-02-12,2027-02-12,0.8,Calibration Error
59,S059,2026-02-20,2027-02-20,0.198,Valid
60,S060,2026-02-09,2027-02-09,0.113,Valid
61,S061,2026-01-30,2027-01-30,0.107,Valid
62,S062,2026-01-27,2027-01-27,0.215,Valid
63,S063,2026-01-28,2026-07-15,0.283,Expired
64,S064,2026-02-19,2027-02-19,0.141,Valid
65,S065,2026-01-11,2027-01-11,0.203,Valid
66,S066,2026-01-15,2027-01-15,0.245,Valid
67,S067,2026-02-03,2027-02-03,0.127,Valid
68,S068,2026-01-09,2027-01-09,0.331,Valid
69,S069,2026-02-12,2027-02-12,0.313,Valid
70,S070,2026-01-09,2027-01-09,0.104,Valid
71,S071,2026-01-17,2027-01-17,0.198,Valid
72,S072,2026-01-27,2027-01-27,0.115,Valid
73,S073,2026-01-28,2026-07-15,0.394,Expired
74,S074,2026-01-24,2027-01-24,0.191,Valid
75,S075,2026-02-11,2027-02-11,0.244,Valid
76,S076,2026-01-20,2027-01-20,0.12,Valid
77,S077,2026-01-06,2027-01-06,0.297,Valid
78,S078,2026-02-07,2027-02-07,0.739,Calibration Error
79,S079,2026-01-24,2027-01-24,0.051,Valid
80,S080,2026-01-04,2027-01-04,0.857,Calibration Error
81,S081,2026-02-25,2027-02-25,0.15,Valid
82,S082,2026-02-22,2027-02-22,0.063,Valid
83,S083,2026-01-05,2027-01-05,0.15,Valid
84,S084,2026-02-06,2026-07-15,0.367,Expired
85,S085,2026-01-04,2027-01-04,0.259,Valid
86,S086,2026-01-23,2027-01-23,0.342,Valid
87,S087,2026-01-21,2027-01-21,0.158,Valid
88,S088,2026-03-01,2026-07-15,0.302,Expired
89,S089,2026-01-07,2027-01-07,0.216,Valid
90,S090,2026-01-18,2027-01-18,1.041,Calibration Error
91,S091,2026-02-01,2027-02-01,0.305,Valid
92,S092,2026-02-11,2027-02-11,0.292,Valid
93,S093,2026-01-01,2027-01-01,0.369,Valid
94,S094,2026-02-22,2027-02-22,0.3,Valid
95,S095,2026-02-13,2027-02-13,0.242,Valid
96,S096,2026-02-27,2027-02-27,0.21,Valid
97,S097,2026-01-13,2027-01-13,0.07,Valid
98,S098,2026-01-13,2027-01-13,0.105,Valid
99,S099,2026-01-26,2027-01-26,0.181,Valid
100,S100,2026-01-26,2027-01-26,1.05,Calibration Error
101,S101,2026-01-04,2027-01-04,0.27,Valid
102,S102,2026-01-26,2026-07-15,0.313,Expired
103,S103,2026-01-08,2026-07-15,0.335,Expired
104,S104,2026-02-12,2026-07-15,0.369,Expired
105,S105,2026-01-10,2027-01-10,0.175,Valid
106,S106,2026-01-27,2027-01-27,0.875,Calibration Error
107,S107,2026-01-27,2027-01-27,0.368,Valid
108,S108,2026-01-20,2027-01-20,0.341,Valid
109,S109,2026-02-18,2027-02-18,0.285,Valid
110,S110,2026-02-28,2027-02-28,0.201,Valid
111,S111,2026-01-23,2027-01-23,0.071,Valid
112,S112,2026-01-13,2027-01-13,0.15,Valid
113,S113,2026-02-13,2026-07-15,0.347,Expired
114,S114,2026-01-27,2027-01-27,0.055,Valid
115,S115,2026-02-14,2027-02-14,0.251,Valid
116,S116,2026-02-15,2027-02-15,0.343,Valid
117,S117,2026-02-05,2027-02-05,0.238,Valid
118,S118,2026-01-23,2027-01-23,0.26,Valid
119,S119,2026-02-01,2027-02-01,0.373,Valid
120,S120,2026-02-17,2027-02-17,0.116,Valid
121,S121,2026-01-05,2027-01-05,0.286,Valid
122,S122,2026-01-11,2027-01-11,0.387,Valid
123,S123,2026-02-17,2027-02-17,0.325,Valid
124,S124,2026-02-18,2027-02-18,0.13,Valid
125,S125,2026-01-07,2027-01-07,0.19,Valid
126,S126,2026-02-16,2027-02-16,0.131,Valid
127,S127,2026-01-16,2027-01-16,0.27,Valid
128,S128,2026-02-08,2027-02-08,0.386,Valid
129,S129,2026-01-18,2027-01-18,0.153,Valid
130,S130,2026-01-15,2027-01-15,0.13,Valid
131,S131,2026-01-10,2027-01-10,0.258,Valid
132,S132,2026-02-13,2027-02-13,0.21,Valid
133,S133,2026-02-28,2027-02-28,0.37,Valid
134,S134,2026-02-16,2027-02-16,0.149,Valid
135,S135,2026-01-19,2027-01-19,0.399,Valid
136,S136,2026-03-02,2027-03-02,0.209,Valid
137,S137,2026-02-10,2027-02-10,0.318,Valid
138,S138,2026-02-28,2027-02-28,1.121,Calibration Error
139,S139,2026-02-17,2027-02-17,0.332,Valid
140,S140,2026-02-19,2027-02-19,0.154,Valid
141,S141,2026-01-01,2027-01-01,0.194,Valid
142,S142,2026-02-20,2026-07-15,0.281,Expired
143,S143,2026-01-03,2027-01-03,0.259,Valid
144,S144,2026-01-19,2027-01-19,0.905,Calibration Error
145,S145,2026-02-07,2026-07-15,0.249,Expired
146,S146,2026-02-10,2027-02-10,0.902,Calibration Error
147,S147,2026-01-28,2027-01-28,0.174,Valid
148,S148,2026-02-08,2027-02-08,0.214,Valid
149,S149,2026-02-28,2027-02-28,0.909,Calibration Error
150,S150,2026-01-05,2027-01-05,0.051,Valid
