shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,shipment_status,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date,vehicle_type,capacity_kg,total_raw_sensor_records,available_temperature_records,missing_temperature_records,offline_observations,raw_average_temperature,raw_min_temperature,raw_max_temperature,minimum_battery_level,minimum_signal_strength,sensor_reliability,total_sensor_records,excursion_records,total_excursion_minutes,temperature_status,sensors_used,valid_calibration_sensors,invalid_calibration_sensors,maximum_calibration_error,average_calibration_error,calibration_status,total_handovers,signed_handovers,missing_handover_signatures,custody_locations,custody_evidence_quality,custody_status,total_route_events,traffic_delay_events,traffic_delay_minutes,route_deviation_events,route_deviation_minutes,total_route_event_minutes,route_reliability,route_status,overall_compliance,compliance_reason,audit_conclusion,evidence_completeness,evidence_completeness_percent
SHP0001,B0001,V058,Kochi,Hyderabad,2026-08-01 08:41:00,2026-08-01 10:27:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,78,2026-08-22,Refrigerated Van,500.0,22,22,0,4,-20.326363636363638,-21.77,-5.22,70.64,0,Partial,22,1,5.0,Warning,1,1,0,0.055,0.055,Valid,3,3,0,Kochi Hub -> Madurai Store -> Madurai Store,Complete,Complete,8,0,0,0,0,38,High,Normal,Review,Temperature: Warning,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0002,B0002,V004,Bangalore,Chennai,2026-08-07 06:30:00,2026-08-07 08:09:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,151,2026-08-28,Refrigerated Van,500.0,20,19,1,0,-21.11842105263158,-21.78,-20.26,70.02,70,Review,20,0,0.0,Compliant,1,0,1,0.8,0.8,Review,4,2,2,Kochi Hub -> Chennai Warehouse -> Salem Hub -> Hyderabad DC,Incomplete,Review,5,0,0,0,0,0,High,Normal,Non-Compliant,Calibration issue; Missing custody signature,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0003,B0003,V046,Coimbatore,Bengaluru,2026-08-04 06:33:00,2026-08-04 11:20:00,Completed,Yogurt,Chilled,2.0,8.0,78,2026-08-28,Refrigerated Van,1200.0,58,58,0,0,4.982241379310345,3.95,5.63,71.13,70,Reliable,58,0,0.0,Compliant,1,1,0,0.37,0.37,Valid,4,3,1,Kochi Hub -> Chennai Warehouse -> Bangalore DC -> Coimbatore Hub,Incomplete,Review,8,2,60,0,0,69,Moderate,Delayed,Review,Missing custody signature; Traffic delay,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0004,B0004,V099,Chennai,Madurai,2026-08-05 05:55:00,2026-08-05 10:31:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,75,2026-08-22,Refrigerated Van,500.0,56,56,0,0,-21.01607142857143,-21.77,-20.01,71.64,70,Reliable,56,0,0.0,Compliant,1,1,0,0.127,0.127,Valid,2,2,0,Kochi Hub -> Bangalore DC,Complete,Complete,5,0,0,0,0,31,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0005,B0005,V072,Coimbatore,Pune,2026-08-04 05:14:00,2026-08-04 09:30:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,212,2026-08-16,Refrigerated Van,1000.0,52,51,1,0,-20.95294117647059,-21.61,-19.91,70.55,70,Partial,52,0,0.0,Compliant,1,1,0,0.136,0.136,Valid,4,2,2,Hyderabad DC -> Pune DC -> Madurai Store -> Pune DC,Incomplete,Review,7,2,52,0,0,91,Moderate,Delayed,Review,Missing custody signature; Traffic delay,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0006,B0006,V043,Bangalore,Madurai,2026-08-06 07:56:00,2026-08-06 11:29:00,Completed,Frozen Peas,Frozen,-25.0,-18.0,144,2026-08-07,Refrigerated Van,1000.0,43,43,0,0,-20.47767441860465,-21.81,-15.03,71.25,70,Reliable,43,4,20.0,Critical,1,1,0,0.344,0.344,Valid,3,3,0,Salem Hub -> Hyderabad DC -> Salem Hub,Complete,Complete,8,1,39,0,0,57,Moderate,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0007,B0007,V053,Coimbatore,Salem,2026-08-04 06:41:00,2026-08-04 08:54:00,Completed,Fresh Cream,Chilled,2.0,8.0,81,2026-08-29,Refrigerated Van,1000.0,27,27,0,0,5.927037037037037,4.39,11.69,71.64,71,Reliable,27,4,20.0,Critical,1,1,0,0.198,0.198,Valid,3,2,1,Coimbatore Hub -> Coimbatore Hub -> Pune DC,Incomplete,Review,6,1,48,0,0,48,Moderate,Delayed,Non-Compliant,Temperature: Critical; Missing custody signature; Traffic delay,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0008,B0008,V046,Bangalore,Mumbai,2026-08-05 09:00:00,2026-08-05 11:24:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,292,2026-08-17,Refrigerated Van,1200.0,29,29,0,0,-20.27655172413793,-21.78,-16.0,70.11,70,Reliable,29,4,20.0,Critical,1,1,0,0.37,0.37,Valid,2,2,0,Chennai Warehouse -> Hyderabad DC,Complete,Complete,6,1,42,0,0,86,Moderate,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0009,B0009,V020,Pune,Madurai,2026-08-07 10:13:00,2026-08-07 12:30:00,Completed,Fresh Milk,Chilled,2.0,8.0,279,2026-08-24,Refrigerated Truck,1500.0,28,28,0,0,5.094285714285714,4.51,5.84,71.75,70,Review,28,0,0.0,Compliant,1,0,1,0.703,0.703,Review,4,4,0,Hyderabad DC -> Salem Hub -> Salem Hub -> Bangalore DC,Complete,Complete,5,0,0,0,0,10,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0010,B0010,V028,Salem,Bengaluru,2026-08-03 10:28:00,2026-08-03 13:19:00,Completed,Fresh Milk,Chilled,2.0,8.0,235,2026-08-30,Refrigerated Van,1000.0,35,35,0,0,5.546571428571428,4.42,10.73,70.18,71,Reliable,35,4,20.0,Critical,1,1,0,0.143,0.143,Valid,3,3,0,Hyderabad DC -> Pune DC -> Coimbatore Hub,Complete,Complete,6,1,20,0,0,20,Moderate,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,Shipment is non-compliant based on critical compliance evidence.,4,100.0
