shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,status,total_sensor_records,excursion_records,total_excursion_minutes,max_temperature,min_temperature,average_temperature,review_records,recovered_records,temperature_status,sensors_used,invalid_calibration_sensors,max_calibration_error,calibration_status,total_handovers,missing_signatures,custody_status,traffic_delays,route_deviations,total_delay_minutes,route_status,overall_compliance,compliance_reason,dispatcher_override,override_reason
SHP0001,B0001,V058,Kochi,Hyderabad,2026-08-01 08:41:00,2026-08-01 10:27:00,Completed,22,1,5.0,-5.221458089022317,-21.76531209786312,-20.326940113718607,6,0,Warning,1,0,0.055,Valid,3,0,Complete,0,0,38,Delayed,Review,Temperature: Warning,Yes,Traffic delay requires route adjustment
SHP0002,B0002,V004,Bangalore,Chennai,2026-08-07 06:30:00,2026-08-07 08:09:00,Completed,20,0,0.0,-20.259088726196424,-21.78386804955191,-21.104775181252325,20,0,Compliant,1,1,0.8,Review,4,2,Review,0,0,0,Normal,Non-Compliant,Calibration issue; Missing custody signature,Yes,Alternate route available with lower delay
SHP0003,B0003,V046,Coimbatore,Bengaluru,2026-08-04 06:33:00,2026-08-04 11:20:00,Completed,58,0,0.0,5.625857462325603,3.952101958364102,4.982420599559467,0,0,Compliant,1,0,0.37,Valid,4,1,Review,2,0,69,Deviation,Review,Missing custody signature; Traffic delay,Yes,Route deviation approved due to road closure
SHP0004,B0004,V099,Chennai,Madurai,2026-08-05 05:55:00,2026-08-05 10:31:00,Completed,56,0,0.0,-20.014703155005886,-21.767508486119617,-21.015974908876952,0,0,Compliant,1,0,0.127,Valid,2,0,Complete,0,0,31,Normal,Compliant,All compliance checks passed,No,
SHP0005,B0005,V072,Coimbatore,Pune,2026-08-04 05:14:00,2026-08-04 09:30:00,Completed,52,0,0.0,-19.911932333364152,-21.605938889874345,-20.95667456681078,0,1,Compliant,1,0,0.136,Valid,4,2,Review,2,0,91,Delayed,Review,Missing custody signature; Traffic delay,No,
SHP0006,B0006,V043,Bangalore,Madurai,2026-08-06 07:56:00,2026-08-06 11:29:00,Completed,43,4,20.0,-15.029391456342609,-21.810057034663043,-20.47751475815986,1,0,Critical,1,0,0.344,Valid,3,0,Complete,1,0,57,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0007,B0007,V053,Coimbatore,Salem,2026-08-04 06:41:00,2026-08-04 08:54:00,Completed,27,4,20.0,11.689852521850938,4.3922520136183945,5.92655180549608,2,0,Critical,1,0,0.198,Valid,3,1,Review,1,0,48,Delayed,Non-Compliant,Temperature: Critical; Missing custody signature; Traffic delay,No,
SHP0008,B0008,V046,Bangalore,Mumbai,2026-08-05 09:00:00,2026-08-05 11:24:00,Completed,29,4,20.0,-15.996958583591468,-21.780835119809,-20.275908062387405,1,0,Critical,1,0,0.37,Valid,2,0,Complete,1,0,86,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0009,B0009,V020,Pune,Madurai,2026-08-07 10:13:00,2026-08-07 12:30:00,Completed,28,0,0.0,5.836954910274184,4.514324554884907,5.093973729334265,28,0,Compliant,1,1,0.703,Review,4,0,Complete,0,0,10,Normal,Review,Calibration issue,No,
SHP0010,B0010,V028,Salem,Bengaluru,2026-08-03 10:28:00,2026-08-03 13:19:00,Completed,35,4,20.0,10.732192926529644,4.42076626340107,5.546438517088017,2,0,Critical,1,0,0.143,Valid,3,0,Complete,1,0,20,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0011,B0011,V099,Bangalore,Coimbatore,2026-08-07 05:37:00,2026-08-07 09:53:00,Completed,52,0,0.0,5.875921173287069,4.150441710276077,5.071760856861374,4,0,Compliant,1,0,0.127,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0012,B0012,V096,Madurai,Salem,2026-08-02 07:50:00,2026-08-02 10:01:00,Completed,27,0,0.0,5.651446218228517,4.17302315998405,4.9336588292449495,27,0,Compliant,1,1,0.347,Review,3,0,Complete,0,0,34,Normal,Review,Calibration issue,No,
SHP0013,B0013,V060,Hyderabad,Kochi,2026-08-02 10:05:00,2026-08-02 13:12:00,Completed,38,4,20.0,11.745353743678285,4.357421471896971,5.609198103375064,2,0,Critical,1,0,0.285,Valid,2,1,Review,0,0,16,Normal,Non-Compliant,Temperature: Critical; Missing custody signature,No,
SHP0014,B0014,V052,Mumbai,Bengaluru,2026-08-03 09:46:00,2026-08-03 13:11:00,Completed,42,0,0.0,5.763766656188052,4.278047159734192,4.941859017720027,0,0,Compliant,1,0,0.171,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0015,B0015,V002,Chennai,Kochi,2026-08-05 06:33:00,2026-08-05 11:53:00,Completed,65,4,20.0,11.319453045918593,4.011342199949084,5.345764904922743,2,0,Critical,1,0,0.126,Valid,2,0,Complete,1,1,115,Deviation,Non-Compliant,Temperature: Critical; Route deviation,No,
SHP0016,B0016,V041,Hyderabad,Salem,2026-08-06 07:41:00,2026-08-06 09:08:00,Completed,18,0,0.0,-20.24928167497677,-21.71148809956172,-20.95866997644289,0,0,Compliant,1,0,0.373,Valid,4,0,Complete,0,0,39,Normal,Compliant,All compliance checks passed,No,
SHP0017,B0017,V100,Hyderabad,Pune,2026-08-06 08:07:00,2026-08-06 11:10:00,Completed,37,0,0.0,5.97830079184673,3.9212453428233713,4.9812004962326295,0,0,Compliant,1,0,0.175,Valid,4,0,Complete,1,0,39,Delayed,Compliant,Traffic delay,No,
SHP0018,B0018,V062,Pune,Bengaluru,2026-08-07 05:33:00,2026-08-07 06:39:00,Completed,14,0,0.0,-19.970656078700056,-21.44261036349667,-20.89088155821187,0,0,Compliant,1,0,0.358,Valid,3,0,Complete,1,0,73,Delayed,Compliant,Traffic delay,No,
SHP0019,B0019,V031,Madurai,Coimbatore,2026-08-01 08:55:00,2026-08-01 14:46:00,Completed,71,4,20.0,11.638880822516253,3.939612076642795,5.28144072289009,2,0,Critical,1,0,0.329,Valid,3,0,Complete,0,0,0,Normal,Non-Compliant,Temperature: Critical,No,
SHP0020,B0020,V011,Salem,Madurai,2026-08-06 09:43:00,2026-08-06 12:11:00,Completed,30,0,0.0,6.052952825934956,4.2636503074673415,5.0123012850691975,0,0,Compliant,1,0,0.318,Valid,3,0,Complete,0,0,23,Normal,Compliant,All compliance checks passed,No,
SHP0021,B0021,V097,Pune,Bangalore,2026-08-01 05:37:00,2026-08-01 07:11:00,Completed,19,0,0.0,5.724979423198771,4.3719101120438175,5.062386536576444,0,0,Compliant,1,0,0.201,Valid,4,0,Complete,0,0,43,Normal,Compliant,All compliance checks passed,No,
SHP0022,B0022,V002,Chennai,Kochi,2026-08-03 06:02:00,2026-08-03 07:32:00,Completed,19,4,20.0,-15.597785241428069,-21.510699430328124,-19.98742069627343,2,0,Critical,1,0,0.126,Valid,2,0,Complete,0,0,18,Normal,Non-Compliant,Temperature: Critical,No,
SHP0023,B0023,V037,Salem,Mumbai,2026-08-04 07:40:00,2026-08-04 12:56:00,Completed,64,0,0.0,5.982120055964358,4.393702354001107,5.041452310925334,0,0,Compliant,1,0,0.3,Valid,2,0,Complete,0,0,60,Normal,Compliant,All compliance checks passed,No,
SHP0024,B0024,V092,Salem,Bangalore,2026-08-04 10:34:00,2026-08-04 16:09:00,Completed,68,0,0.0,6.010772970349449,4.120477617351967,5.118462497400463,0,0,Compliant,1,0,0.27,Valid,4,0,Complete,0,0,73,Normal,Compliant,All compliance checks passed,No,
SHP0025,B0025,V010,Bengaluru,Coimbatore,2026-08-06 07:05:00,2026-08-06 10:43:00,Completed,44,1,5.0,-3.299175625969478,-21.96955173065158,-20.601922581491973,44,0,Warning,1,1,0.736,Review,4,0,Complete,0,0,36,Normal,Review,Temperature: Warning; Calibration issue,No,
SHP0026,B0026,V026,Bangalore,Mumbai,2026-08-07 06:51:00,2026-08-07 09:10:00,Completed,28,0,0.0,5.719074610739809,4.183306052630284,5.0226815879682105,4,0,Compliant,1,0,0.07,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0027,B0027,V019,Mumbai,Madurai,2026-08-05 08:37:00,2026-08-05 10:10:00,Completed,19,0,0.0,5.856908143444746,4.724324872764173,5.1962065516118905,19,0,Compliant,1,1,0.335,Review,3,0,Complete,0,0,55,Normal,Review,Calibration issue,No,
SHP0028,B0028,V007,Kochi,Salem,2026-08-06 10:54:00,2026-08-06 13:56:00,Completed,37,0,0.0,5.673571076583148,3.8605829517479697,5.026301580437445,0,0,Compliant,1,0,0.357,Valid,2,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0029,B0029,V032,Chennai,Hyderabad,2026-08-01 05:59:00,2026-08-01 10:41:00,Completed,57,0,0.0,5.96136623409531,3.841497848722524,5.045871114856419,0,0,Compliant,1,0,0.252,Valid,3,0,Complete,1,0,97,Delayed,Compliant,Traffic delay,No,
SHP0030,B0030,V083,Bangalore,Pune,2026-08-06 09:38:00,2026-08-06 11:06:00,Completed,18,0,0.0,-20.34662738707956,-21.458538157207474,-20.825357103906278,0,0,Compliant,1,0,0.331,Valid,4,0,Complete,1,1,39,Deviation,Review,Route deviation,No,
SHP0031,B0031,V080,Kochi,Coimbatore,2026-08-07 05:00:00,2026-08-07 07:10:00,Completed,27,0,0.0,-20.083622970963702,-21.99976228594943,-21.063686850443005,4,0,Compliant,1,0,0.251,Valid,2,0,Complete,0,0,16,Normal,Compliant,All compliance checks passed,No,
SHP0032,B0032,V036,Chennai,Coimbatore,2026-08-03 08:22:00,2026-08-03 13:49:00,Completed,66,0,0.0,-20.02409903746429,-21.67718272567816,-20.974590460246706,0,0,Compliant,1,0,0.259,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0033,B0033,V040,Mumbai,Kochi,2026-08-01 06:23:00,2026-08-01 08:27:00,Completed,25,0,0.0,6.031883735061728,4.202505742971418,4.990129649530778,0,0,Compliant,1,0,0.369,Valid,2,0,Complete,0,1,94,Deviation,Review,Route deviation,No,
SHP0034,B0034,V045,Kochi,Bangalore,2026-08-05 05:21:00,2026-08-05 10:00:00,Completed,56,1,5.0,-4.337922364891258,-21.861156237180992,-20.669370394913862,56,0,Warning,1,1,0.902,Review,4,1,Review,0,0,13,Normal,Non-Compliant,Temperature: Warning; Calibration issue; Missing custody signature,No,
SHP0035,B0035,V063,Kochi,Mumbai,2026-08-06 05:16:00,2026-08-06 11:11:00,Completed,72,1,5.0,-2.822655990567293,-22.036416916857963,-20.78333396268078,2,0,Warning,1,0,0.258,Valid,3,0,Complete,0,0,35,Normal,Review,Temperature: Warning,No,
SHP0036,B0036,V090,Bangalore,Pune,2026-08-05 08:32:00,2026-08-05 12:36:00,Completed,49,0,0.0,-20.133999062039567,-21.7865426357504,-20.91984826201278,49,0,Compliant,1,1,0.953,Review,4,0,Complete,0,0,5,Normal,Review,Calibration issue,No,
SHP0037,B0037,V026,Chennai,Pune,2026-08-01 09:10:00,2026-08-01 13:18:00,Completed,50,0,0.0,-19.959326754327844,-21.70430510366233,-20.91942127263973,0,0,Compliant,1,0,0.07,Valid,3,0,Complete,1,0,56,Delayed,Compliant,Traffic delay,No,
SHP0038,B0038,V088,Coimbatore,Kochi,2026-08-06 05:57:00,2026-08-06 11:50:00,Completed,71,0,0.0,-19.9767202857327,-22.14890488531266,-20.93844540479489,0,1,Compliant,1,0,0.384,Valid,2,1,Review,1,1,108,Deviation,Review,Missing custody signature; Route deviation,No,
SHP0039,B0039,V042,Bangalore,Hyderabad,2026-08-05 10:32:00,2026-08-05 11:33:00,Completed,13,0,0.0,5.597075427583809,4.030303895890823,4.962852904828022,0,0,Compliant,1,0,0.15,Valid,4,0,Complete,1,0,63,Delayed,Compliant,Traffic delay,No,
SHP0040,B0040,V072,Chennai,Hyderabad,2026-08-02 05:30:00,2026-08-02 09:36:00,Completed,50,4,20.0,-15.425773622363476,-21.94517297421673,-20.66175841702636,5,0,Critical,1,0,0.136,Valid,3,0,Complete,1,0,27,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0041,B0041,V086,Salem,Coimbatore,2026-08-01 06:59:00,2026-08-01 08:17:00,Completed,16,0,0.0,-20.25068088951298,-21.575311191326943,-20.92064718042388,0,1,Compliant,1,0,0.124,Valid,3,0,Complete,0,1,100,Deviation,Review,Route deviation,No,
SHP0042,B0042,V091,Mumbai,Salem,2026-08-06 06:20:00,2026-08-06 09:27:00,Completed,38,0,0.0,-19.96417454319256,-21.84874195960344,-20.916863451464604,0,0,Compliant,1,0,0.387,Valid,4,1,Review,2,0,67,Delayed,Review,Missing custody signature; Traffic delay,No,
SHP0043,B0043,V021,Salem,Madurai,2026-08-01 07:52:00,2026-08-01 09:31:00,Completed,20,0,0.0,5.646150275787777,4.528384083536079,5.044961045851294,20,0,Compliant,1,1,0.128,Review,3,0,Complete,0,0,20,Normal,Review,Calibration issue,No,
SHP0044,B0044,V070,Bengaluru,Madurai,2026-08-03 05:32:00,2026-08-03 06:58:00,Completed,18,0,0.0,5.775571599623314,4.4616081279013,5.117335453589591,4,0,Compliant,1,0,0.064,Valid,4,0,Complete,0,0,67,Normal,Compliant,All compliance checks passed,No,
SHP0045,B0045,V008,Coimbatore,Hyderabad,2026-08-01 09:02:00,2026-08-01 13:27:00,Completed,54,0,0.0,5.735273470718049,3.9187070828003048,5.060922254847696,54,0,Compliant,1,1,0.186,Review,2,0,Complete,0,0,14,Normal,Review,Calibration issue,No,
SHP0046,B0046,V083,Bangalore,Pune,2026-08-04 07:49:00,2026-08-04 11:28:00,Completed,44,0,0.0,5.868377086999126,4.249931012141702,4.899511052526901,0,0,Compliant,1,0,0.331,Valid,3,1,Review,0,1,141,Deviation,Review,Missing custody signature; Route deviation,No,
SHP0047,B0047,V002,Madurai,Bangalore,2026-08-02 09:29:00,2026-08-02 10:33:00,Completed,13,1,5.0,-3.716253263104991,-21.860726160531723,-19.780990290093232,2,0,Warning,1,0,0.126,Valid,2,0,Complete,0,0,55,Normal,Review,Temperature: Warning,No,
SHP0048,B0048,V047,Madurai,Hyderabad,2026-08-06 07:36:00,2026-08-06 11:11:00,Completed,44,0,0.0,-20.2898756429562,-21.75273961819905,-20.978206582934085,44,0,Compliant,1,1,0.739,Review,2,0,Complete,0,0,0,Normal,Review,Calibration issue,No,
SHP0049,B0049,V100,Bengaluru,Hyderabad,2026-08-01 08:23:00,2026-08-01 13:35:00,Completed,63,0,0.0,-20.107479941522943,-21.79171992415032,-21.02075004218656,4,0,Compliant,1,0,0.175,Valid,2,1,Review,0,0,18,Normal,Review,Missing custody signature,No,
SHP0050,B0050,V099,Hyderabad,Mumbai,2026-08-04 06:09:00,2026-08-04 07:12:00,Completed,13,0,0.0,6.057737338806814,3.987884990901468,5.058076871972735,0,0,Compliant,1,0,0.127,Valid,4,0,Complete,0,0,24,Normal,Compliant,All compliance checks passed,No,
SHP0051,B0051,V059,Salem,Chennai,2026-08-02 06:34:00,2026-08-02 10:31:00,Completed,48,0,0.0,-19.744900586536,-22.17615545386571,-20.95737628927149,0,0,Compliant,1,0,0.194,Valid,4,1,Review,0,1,72,Deviation,Review,Missing custody signature; Route deviation,No,
SHP0052,B0052,V045,Chennai,Madurai,2026-08-06 05:48:00,2026-08-06 10:00:00,Completed,51,4,20.0,11.225441766509984,3.79219513767167,5.415482184797321,51,0,Critical,1,1,0.902,Review,2,1,Review,0,1,103,Deviation,Non-Compliant,Temperature: Critical; Calibration issue; Missing custody signature; Route deviation,No,
SHP0053,B0053,V018,Kochi,Bangalore,2026-08-06 06:33:00,2026-08-06 09:34:00,Completed,37,0,0.0,-20.430900745560024,-21.97552686331057,-21.03393686249629,0,0,Compliant,1,0,0.116,Valid,4,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
