,journey_duration_min,batch_quantity,avg_temperature_c,stddev_temperature_c,avg_battery_level,avg_signal_strength,total_readings,missing_readings,offline_readings,total_events,traffic_delay_events,total_delay_minutes,missing_signatures,signature_rate_pct
journey_duration_min,1.0,-0.008,-0.049,-0.024,0.004,0.041,1.0,0.0,-0.019,0.018,0.029,0.012,0.032,-0.036
batch_quantity,-0.008,1.0,-0.036,-0.07,0.069,0.039,-0.007,0.008,-0.049,-0.026,0.017,0.031,0.028,-0.042
avg_temperature_c,-0.049,-0.036,1.0,-0.041,0.014,0.044,-0.049,0.051,-0.055,0.001,-0.028,0.0,0.008,-0.017
stddev_temperature_c,-0.024,-0.07,-0.041,1.0,0.033,-0.05,-0.023,-0.024,0.035,-0.049,-0.02,-0.015,-0.031,0.035
avg_battery_level,0.004,0.069,0.014,0.033,1.0,-0.006,0.004,-0.051,-0.01,-0.003,-0.044,-0.026,-0.033,0.028
avg_signal_strength,0.041,0.039,0.044,-0.05,-0.006,1.0,0.04,-0.092,-0.773,0.035,0.071,0.057,-0.005,0.004
total_readings,1.0,-0.007,-0.049,-0.023,0.004,0.04,1.0,0.0,-0.018,0.017,0.03,0.012,0.033,-0.037
missing_readings,0.0,0.008,0.051,-0.024,-0.051,-0.092,0.0,1.0,0.09,-0.01,-0.031,-0.064,-0.019,0.013
offline_readings,-0.019,-0.049,-0.055,0.035,-0.01,-0.773,-0.018,0.09,1.0,-0.037,-0.041,-0.031,0.007,-0.009
total_events,0.018,-0.026,0.001,-0.049,-0.003,0.035,0.017,-0.01,-0.037,1.0,0.105,0.09,0.041,-0.032
traffic_delay_events,0.029,0.017,-0.028,-0.02,-0.044,0.071,0.03,-0.031,-0.041,0.105,1.0,0.913,0.111,-0.089
total_delay_minutes,0.012,0.031,0.0,-0.015,-0.026,0.057,0.012,-0.064,-0.031,0.09,0.913,1.0,0.085,-0.065
missing_signatures,0.032,0.028,0.008,-0.031,-0.033,-0.005,0.033,-0.019,0.007,0.041,0.111,0.085,1.0,-0.948
signature_rate_pct,-0.036,-0.042,-0.017,0.035,0.028,0.004,-0.037,0.013,-0.009,-0.032,-0.089,-0.065,-0.948,1.0
