product_key,batch_id,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date
1,B0001,Frozen French Fries,Frozen,-25.0,-18.0,78,2026-08-22
2,B0002,Frozen French Fries,Frozen,-25.0,-18.0,151,2026-08-28
3,B0003,Yogurt,Chilled,2.0,8.0,78,2026-08-28
4,B0004,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,75,2026-08-22
5,B0005,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,212,2026-08-16
6,B0006,Frozen Peas,Frozen,-25.0,-18.0,144,2026-08-07
7,B0007,Fresh Cream,Chilled,2.0,8.0,81,2026-08-29
8,B0008,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,292,2026-08-17
9,B0009,Fresh Milk,Chilled,2.0,8.0,279,2026-08-24
10,B0010,Fresh Milk,Chilled,2.0,8.0,235,2026-08-30
11,B0011,Fresh Milk,Chilled,2.0,8.0,241,2026-08-15
12,B0012,Yogurt,Chilled,2.0,8.0,242,2026-08-09
13,B0013,Fresh Cream,Chilled,2.0,8.0,295,2026-08-28
14,B0014,Cheese,Chilled,2.0,8.0,243,2026-08-30
15,B0015,Fresh Paneer,Chilled,2.0,8.0,145,2026-08-30
16,B0016,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,250,2026-08-11
17,B0017,Fresh Cream,Chilled,2.0,8.0,214,2026-08-14
18,B0018,Frozen French Fries,Frozen,-25.0,-18.0,186,2026-08-09
19,B0019,Yogurt,Chilled,2.0,8.0,201,2026-08-29
20,B0020,Fresh Paneer,Chilled,2.0,8.0,163,2026-08-23
21,B0021,Fresh Cream,Chilled,2.0,8.0,25,2026-08-20
22,B0022,Frozen Peas,Frozen,-25.0,-18.0,143,2026-08-27
23,B0023,Cheese,Chilled,2.0,8.0,143,2026-08-26
24,B0024,Cheese,Chilled,2.0,8.0,249,2026-08-29
25,B0025,Frozen Peas,Frozen,-25.0,-18.0,170,2026-08-11
26,B0026,Yogurt,Chilled,2.0,8.0,176,2026-08-25
27,B0027,Cheese,Chilled,2.0,8.0,291,2026-08-15
28,B0028,Fresh Cream,Chilled,2.0,8.0,189,2026-08-15
29,B0029,Fresh Paneer,Chilled,2.0,8.0,176,2026-08-12
30,B0030,Frozen Peas,Frozen,-25.0,-18.0,118,2026-08-14
31,B0031,Frozen Paneer,Frozen,-25.0,-18.0,114,2026-08-10
32,B0032,Frozen French Fries,Frozen,-25.0,-18.0,161,2026-08-27
33,B0033,Fresh Milk,Chilled,2.0,8.0,119,2026-08-13
34,B0034,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,111,2026-08-13
35,B0035,Frozen Paneer,Frozen,-25.0,-18.0,84,2026-08-12
36,B0036,Frozen Peas,Frozen,-25.0,-18.0,169,2026-08-26
37,B0037,Frozen French Fries,Frozen,-25.0,-18.0,72,2026-08-31
38,B0038,Frozen Paneer,Frozen,-25.0,-18.0,165,2026-08-19
39,B0039,Cheese,Chilled,2.0,8.0,194,2026-08-09
40,B0040,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,264,2026-08-07
41,B0041,Frozen French Fries,Frozen,-25.0,-18.0,271,2026-08-06
42,B0042,Frozen Corn,Frozen,-25.0,-18.0,96,2026-08-29
43,B0043,Fresh Milk,Chilled,2.0,8.0,147,2026-08-07
44,B0044,Fresh Cream,Chilled,2.0,8.0,135,2026-08-28
45,B0045,Cheese,Chilled,2.0,8.0,246,2026-08-13
46,B0046,Fresh Paneer,Chilled,2.0,8.0,50,2026-08-23
47,B0047,Frozen Corn,Frozen,-25.0,-18.0,128,2026-08-12
48,B0048,Frozen Corn,Frozen,-25.0,-18.0,142,2026-08-09
49,B0049,Frozen Corn,Frozen,-25.0,-18.0,21,2026-08-17
50,B0050,Fresh Cream,Chilled,2.0,8.0,260,2026-08-13
51,B0051,Frozen Corn,Frozen,-25.0,-18.0,167,2026-08-26
52,B0052,Cheese,Chilled,2.0,8.0,56,2026-08-25
53,B0053,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,121,2026-08-17
54,B0054,Frozen Paneer,Frozen,-25.0,-18.0,135,2026-08-24
55,B0055,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,92,2026-08-06
56,B0056,Frozen Corn,Frozen,-25.0,-18.0,177,2026-08-23
57,B0057,Cheese,Chilled,2.0,8.0,83,2026-08-18
58,B0058,Cheese,Chilled,2.0,8.0,159,2026-08-20
