vehicle_key,vehicle_id,vehicle_type,capacity_kg,active
1,V001,Refrigerated Van,500.0,True
2,V002,Refrigerated Truck,2000.0,True
3,V003,Refrigerated Van,750.0,True
4,V004,Refrigerated Van,500.0,True
5,V005,Refrigerated Truck,1500.0,True
6,V006,Refrigerated Van,500.0,True
7,V007,Refrigerated Van,750.0,True
8,V008,Refrigerated Van,750.0,True
9,V009,Refrigerated Truck,2000.0,True
10,V010,Refrigerated Truck,2500.0,True
11,V011,Refrigerated Van,750.0,True
12,V012,Refrigerated Truck,2500.0,True
13,V013,Refrigerated Truck,2000.0,True
14,V014,Refrigerated Van,1000.0,True
15,V015,Refrigerated Van,500.0,True
16,V016,Refrigerated Truck,1500.0,True
17,V017,Refrigerated Truck,2500.0,True
18,V018,Refrigerated Truck,1500.0,True
19,V019,Refrigerated Truck,1500.0,True
20,V020,Refrigerated Truck,1500.0,True
21,V021,Refrigerated Truck,2500.0,True
22,V022,Refrigerated Van,500.0,True
23,V023,Refrigerated Van,750.0,True
24,V024,Refrigerated Truck,1500.0,True
25,V025,Refrigerated Van,500.0,True
26,V026,Refrigerated Truck,2500.0,True
27,V027,Refrigerated Truck,2500.0,True
28,V028,Refrigerated Van,1000.0,True
29,V029,Refrigerated Truck,2000.0,True
30,V030,Refrigerated Truck,1500.0,True
31,V031,Refrigerated Van,750.0,True
32,V032,Refrigerated Van,1200.0,True
33,V033,Refrigerated Truck,2500.0,True
34,V034,Refrigerated Van,1000.0,True
35,V035,Refrigerated Van,750.0,True
36,V036,Refrigerated Van,1000.0,True
37,V037,Refrigerated Truck,2500.0,True
38,V038,Refrigerated Van,750.0,True
39,V039,Refrigerated Truck,2000.0,True
40,V040,Refrigerated Truck,3000.0,True
41,V041,Refrigerated Truck,2000.0,True
42,V042,Refrigerated Truck,2000.0,True
43,V043,Refrigerated Van,1000.0,True
44,V044,Refrigerated Truck,3000.0,True
45,V045,Refrigerated Truck,2000.0,True
46,V046,Refrigerated Van,1200.0,True
47,V047,Refrigerated Van,500.0,True
48,V048,Refrigerated Van,750.0,True
49,V049,Refrigerated Van,1200.0,True
50,V050,Refrigerated Van,1200.0,True
51,V051,Refrigerated Truck,3000.0,True
52,V052,Refrigerated Truck,1500.0,True
53,V053,Refrigerated Van,1000.0,True
54,V054,Refrigerated Truck,1500.0,True
55,V055,Refrigerated Truck,3000.0,True
56,V056,Refrigerated Van,1200.0,True
57,V057,Refrigerated Van,1000.0,True
58,V058,Refrigerated Van,500.0,True
59,V059,Refrigerated Truck,2000.0,True
60,V060,Refrigerated Van,1000.0,True
61,V061,Refrigerated Van,500.0,True
62,V062,Refrigerated Truck,3000.0,True
63,V063,Refrigerated Van,500.0,True
64,V064,Refrigerated Truck,2500.0,True
65,V065,Refrigerated Van,500.0,True
66,V066,Refrigerated Van,500.0,True
67,V067,Refrigerated Van,1200.0,True
68,V068,Refrigerated Van,750.0,True
69,V069,Refrigerated Van,1200.0,True
70,V070,Refrigerated Van,1000.0,True
71,V071,Refrigerated Truck,2000.0,True
72,V072,Refrigerated Van,1000.0,True
73,V073,Refrigerated Truck,2500.0,True
74,V074,Refrigerated Truck,3000.0,True
75,V075,Refrigerated Van,750.0,True
76,V076,Refrigerated Van,500.0,True
77,V077,Refrigerated Truck,1500.0,True
78,V078,Refrigerated Van,750.0,True
79,V079,Refrigerated Van,500.0,True
80,V080,Refrigerated Van,750.0,True
81,V081,Refrigerated Van,500.0,True
82,V082,Refrigerated Truck,1500.0,True
83,V083,Refrigerated Van,1000.0,True
84,V084,Refrigerated Truck,2000.0,True
85,V085,Refrigerated Van,1200.0,True
86,V086,Refrigerated Van,1200.0,True
87,V087,Refrigerated Truck,2000.0,True
88,V088,Refrigerated Van,500.0,True
89,V089,Refrigerated Truck,2500.0,True
90,V090,Refrigerated Truck,3000.0,True
91,V091,Refrigerated Truck,1500.0,True
92,V092,Refrigerated Van,500.0,True
93,V093,Refrigerated Truck,2500.0,True
94,V094,Refrigerated Van,750.0,True
95,V095,Refrigerated Van,750.0,True
96,V096,Refrigerated Truck,2000.0,True
97,V097,Refrigerated Truck,2000.0,True
98,V098,Refrigerated Truck,3000.0,True
99,V099,Refrigerated Van,500.0,True
100,V100,Refrigerated Truck,1500.0,True
