handover_key,shipment_id,shipment_key,total_handovers,signed_handovers,missing_signatures,signature_rate_pct
1,SHP0317,317,3,2,1,66.67
2,SHP0374,374,4,3,1,75.0
3,SHP0126,126,2,2,0,100.0
4,SHP0074,74,4,4,0,100.0
5,SHP0251,251,4,4,0,100.0
6,SHP0190,190,4,3,1,75.0
7,SHP0108,108,2,2,0,100.0
8,SHP0149,149,4,4,0,100.0
9,SHP0481,481,3,3,0,100.0
10,SHP0441,441,4,4,0,100.0
11,SHP0253,253,4,4,0,100.0
12,SHP0145,145,3,3,0,100.0
13,SHP0098,98,3,3,0,100.0
14,SHP0137,137,4,3,1,75.0
15,SHP0365,365,3,3,0,100.0
16,SHP0352,352,4,2,2,50.0
17,SHP0376,376,2,1,1,50.0
18,SHP0410,410,2,1,1,50.0
19,SHP0340,340,3,3,0,100.0
20,SHP0254,254,4,4,0,100.0
21,SHP0275,275,4,4,0,100.0
22,SHP0179,179,3,3,0,100.0
23,SHP0203,203,2,2,0,100.0
24,SHP0277,277,3,2,1,66.67
25,SHP0346,346,3,3,0,100.0
26,SHP0188,188,2,2,0,100.0
27,SHP0316,316,3,3,0,100.0
28,SHP0030,30,4,4,0,100.0
29,SHP0283,283,2,2,0,100.0
30,SHP0120,120,2,2,0,100.0
31,SHP0327,327,4,4,0,100.0
32,SHP0182,182,2,2,0,100.0
33,SHP0330,330,2,2,0,100.0
34,SHP0382,382,4,4,0,100.0
35,SHP0224,224,4,4,0,100.0
36,SHP0169,169,4,4,0,100.0
37,SHP0405,405,2,2,0,100.0
38,SHP0465,465,2,2,0,100.0
39,SHP0290,290,2,2,0,100.0
40,SHP0193,193,3,3,0,100.0
41,SHP0128,128,2,2,0,100.0
42,SHP0313,313,4,4,0,100.0
43,SHP0152,152,3,3,0,100.0
44,SHP0037,37,3,3,0,100.0
45,SHP0060,60,3,2,1,66.67
46,SHP0032,32,3,3,0,100.0
47,SHP0178,178,2,2,0,100.0
48,SHP0209,209,4,3,1,75.0
49,SHP0122,122,4,3,1,75.0
50,SHP0004,4,2,2,0,100.0
51,SHP0218,218,3,1,2,33.33
52,SHP0360,360,2,2,0,100.0
53,SHP0334,334,3,3,0,100.0
54,SHP0414,414,3,3,0,100.0
55,SHP0353,353,4,4,0,100.0
56,SHP0052,52,2,1,1,50.0
57,SHP0271,271,3,3,0,100.0
58,SHP0408,408,4,4,0,100.0
59,SHP0403,403,2,2,0,100.0
60,SHP0364,364,2,2,0,100.0
61,SHP0500,500,2,1,1,50.0
62,SHP0160,160,3,3,0,100.0
63,SHP0228,228,2,2,0,100.0
64,SHP0276,276,2,2,0,100.0
65,SHP0018,18,3,3,0,100.0
66,SHP0474,474,3,3,0,100.0
67,SHP0118,118,4,4,0,100.0
68,SHP0392,392,4,4,0,100.0
69,SHP0231,231,4,4,0,100.0
70,SHP0463,463,2,2,0,100.0
71,SHP0386,386,2,2,0,100.0
72,SHP0269,269,2,2,0,100.0
73,SHP0446,446,4,4,0,100.0
74,SHP0464,464,2,2,0,100.0
75,SHP0292,292,4,3,1,75.0
76,SHP0028,28,2,2,0,100.0
77,SHP0456,456,2,2,0,100.0
78,SHP0138,138,3,3,0,100.0
79,SHP0002,2,4,2,2,50.0
80,SHP0462,462,3,2,1,66.67
81,SHP0220,220,4,3,1,75.0
82,SHP0419,419,4,4,0,100.0
83,SHP0370,370,2,2,0,100.0
84,SHP0391,391,4,4,0,100.0
85,SHP0139,139,3,3,0,100.0
86,SHP0095,95,3,3,0,100.0
87,SHP0242,242,2,2,0,100.0
88,SHP0175,175,4,4,0,100.0
89,SHP0248,248,2,2,0,100.0
90,SHP0081,81,3,1,2,33.33
91,SHP0258,258,4,4,0,100.0
92,SHP0347,347,2,2,0,100.0
93,SHP0226,226,4,4,0,100.0
94,SHP0434,434,4,2,2,50.0
95,SHP0318,318,2,1,1,50.0
96,SHP0119,119,3,3,0,100.0
97,SHP0274,274,2,2,0,100.0
98,SHP0468,468,3,3,0,100.0
99,SHP0243,243,4,3,1,75.0
100,SHP0144,144,3,3,0,100.0
101,SHP0288,288,3,2,1,66.67
102,SHP0267,267,3,3,0,100.0
103,SHP0076,76,4,4,0,100.0
104,SHP0068,68,4,3,1,75.0
105,SHP0183,183,4,3,1,75.0
106,SHP0482,482,4,4,0,100.0
107,SHP0349,349,4,4,0,100.0
108,SHP0272,272,4,4,0,100.0
109,SHP0057,57,2,2,0,100.0
110,SHP0428,428,4,4,0,100.0
111,SHP0084,84,4,3,1,75.0
112,SHP0143,143,4,4,0,100.0
113,SHP0150,150,4,4,0,100.0
114,SHP0480,480,3,3,0,100.0
115,SHP0239,239,4,4,0,100.0
116,SHP0066,66,3,2,1,66.67
117,SHP0285,285,4,4,0,100.0
118,SHP0426,426,2,2,0,100.0
119,SHP0109,109,3,3,0,100.0
120,SHP0199,199,4,3,1,75.0
121,SHP0266,266,2,2,0,100.0
122,SHP0384,384,4,3,1,75.0
123,SHP0350,350,4,4,0,100.0
124,SHP0252,252,2,1,1,50.0
125,SHP0229,229,2,2,0,100.0
126,SHP0319,319,4,2,2,50.0
127,SHP0491,491,3,3,0,100.0
128,SHP0338,338,4,4,0,100.0
129,SHP0221,221,3,3,0,100.0
130,SHP0180,180,3,3,0,100.0
131,SHP0117,117,4,3,1,75.0
132,SHP0055,55,4,4,0,100.0
133,SHP0142,142,2,2,0,100.0
134,SHP0476,476,4,4,0,100.0
135,SHP0140,140,2,2,0,100.0
136,SHP0280,280,4,3,1,75.0
137,SHP0473,473,4,4,0,100.0
138,SHP0314,314,3,2,1,66.67
139,SHP0031,31,2,2,0,100.0
140,SHP0415,415,3,3,0,100.0
141,SHP0389,389,3,3,0,100.0
142,SHP0204,204,2,2,0,100.0
143,SHP0402,402,3,3,0,100.0
144,SHP0132,132,3,2,1,66.67
145,SHP0033,33,2,2,0,100.0
146,SHP0493,493,4,4,0,100.0
147,SHP0173,173,4,4,0,100.0
148,SHP0019,19,3,3,0,100.0
149,SHP0320,320,4,4,0,100.0
150,SHP0250,250,3,3,0,100.0
151,SHP0153,153,2,2,0,100.0
152,SHP0079,79,2,2,0,100.0
153,SHP0279,279,2,2,0,100.0
154,SHP0255,255,3,3,0,100.0
155,SHP0110,110,4,4,0,100.0
156,SHP0303,303,3,2,1,66.67
157,SHP0177,177,4,4,0,100.0
158,SHP0466,466,2,2,0,100.0
159,SHP0281,281,2,1,1,50.0
160,SHP0343,343,3,3,0,100.0
161,SHP0158,158,2,2,0,100.0
162,SHP0273,273,2,2,0,100.0
163,SHP0020,20,3,3,0,100.0
164,SHP0123,123,4,3,1,75.0
165,SHP0114,114,3,3,0,100.0
166,SHP0423,423,3,3,0,100.0
167,SHP0148,148,3,3,0,100.0
168,SHP0195,195,3,3,0,100.0
169,SHP0029,29,3,3,0,100.0
170,SHP0025,25,4,4,0,100.0
171,SHP0212,212,2,1,1,50.0
172,SHP0305,305,4,3,1,75.0
173,SHP0207,207,2,2,0,100.0
174,SHP0036,36,4,4,0,100.0
175,SHP0315,315,4,3,1,75.0
176,SHP0217,217,4,4,0,100.0
177,SHP0097,97,4,3,1,75.0
178,SHP0067,67,4,4,0,100.0
179,SHP0159,159,3,3,0,100.0
180,SHP0124,124,2,2,0,100.0
181,SHP0333,333,2,2,0,100.0
182,SHP0135,135,4,4,0,100.0
183,SHP0113,113,4,4,0,100.0
184,SHP0104,104,2,2,0,100.0
185,SHP0093,93,2,2,0,100.0
186,SHP0222,222,3,2,1,66.67
187,SHP0246,246,3,3,0,100.0
188,SHP0357,357,2,2,0,100.0
189,SHP0127,127,2,2,0,100.0
190,SHP0198,198,4,4,0,100.0
191,SHP0086,86,3,3,0,100.0
192,SHP0038,38,2,1,1,50.0
193,SHP0450,450,4,3,1,75.0
194,SHP0390,390,3,3,0,100.0
195,SHP0186,186,4,3,1,75.0
196,SHP0460,460,2,2,0,100.0
197,SHP0107,107,3,3,0,100.0
198,SHP0417,417,3,2,1,66.67
199,SHP0260,260,3,3,0,100.0
200,SHP0102,102,3,3,0,100.0
201,SHP0442,442,3,3,0,100.0
202,SHP0421,421,3,3,0,100.0
203,SHP0369,369,2,2,0,100.0
204,SHP0321,321,2,2,0,100.0
205,SHP0354,354,2,2,0,100.0
206,SHP0010,10,3,3,0,100.0
207,SHP0332,332,4,3,1,75.0
208,SHP0438,438,4,4,0,100.0
209,SHP0431,431,2,2,0,100.0
210,SHP0400,400,4,3,1,75.0
211,SHP0341,341,4,4,0,100.0
212,SHP0249,249,2,2,0,100.0
213,SHP0289,289,3,2,1,66.67
214,SHP0049,49,2,1,1,50.0
215,SHP0154,154,3,3,0,100.0
216,SHP0155,155,2,1,1,50.0
217,SHP0498,498,2,2,0,100.0
218,SHP0257,257,2,2,0,100.0
219,SHP0296,296,2,2,0,100.0
220,SHP0115,115,4,4,0,100.0
221,SHP0351,351,4,3,1,75.0
222,SHP0234,234,2,2,0,100.0
223,SHP0058,58,3,3,0,100.0
224,SHP0477,477,2,2,0,100.0
225,SHP0075,75,4,4,0,100.0
226,SHP0026,26,3,3,0,100.0
227,SHP0073,73,4,4,0,100.0
228,SHP0490,490,2,2,0,100.0
229,SHP0278,278,4,4,0,100.0
230,SHP0494,494,3,3,0,100.0
231,SHP0223,223,2,2,0,100.0
232,SHP0101,101,3,3,0,100.0
233,SHP0005,5,4,2,2,50.0
234,SHP0300,300,2,2,0,100.0
235,SHP0134,134,2,0,2,0.0
236,SHP0435,435,4,3,1,75.0
237,SHP0121,121,2,2,0,100.0
238,SHP0483,483,3,3,0,100.0
239,SHP0053,53,4,4,0,100.0
240,SHP0131,131,4,4,0,100.0
241,SHP0489,489,2,1,1,50.0
242,SHP0492,492,4,4,0,100.0
243,SHP0307,307,3,3,0,100.0
244,SHP0404,404,4,4,0,100.0
245,SHP0337,337,4,4,0,100.0
246,SHP0467,467,4,3,1,75.0
247,SHP0358,358,3,2,1,66.67
248,SHP0099,99,4,4,0,100.0
249,SHP0090,90,4,4,0,100.0
250,SHP0077,77,3,2,1,66.67
251,SHP0008,8,2,2,0,100.0
252,SHP0311,311,4,4,0,100.0
253,SHP0362,362,3,3,0,100.0
254,SHP0176,176,2,2,0,100.0
255,SHP0457,457,2,2,0,100.0
256,SHP0042,42,4,3,1,75.0
257,SHP0064,64,2,2,0,100.0
258,SHP0141,141,4,4,0,100.0
259,SHP0407,407,4,3,1,75.0
260,SHP0485,485,3,3,0,100.0
261,SHP0235,235,2,2,0,100.0
