route_event_key,shipment_id,shipment_key,total_events,checkpoint_events,cold_storage_stops,rest_stop_events,traffic_delay_events,route_deviation_events,total_delay_minutes,total_deviation_minutes
1,SHP0317,317,8,3,0,2,1,0,45,0
2,SHP0374,374,6,2,0,2,0,0,0,0
3,SHP0126,126,6,1,0,2,0,1,0,17
4,SHP0074,74,7,2,1,2,0,0,0,0
5,SHP0251,251,6,3,0,1,0,0,0,0
6,SHP0190,190,8,4,0,2,0,0,0,0
7,SHP0108,108,7,3,0,1,1,0,34,0
8,SHP0149,149,8,4,1,0,1,0,60,0
9,SHP0481,481,5,2,0,1,0,0,0,0
10,SHP0441,441,8,3,2,1,0,0,0,0
11,SHP0253,253,7,3,1,0,1,0,48,0
12,SHP0145,145,7,3,1,0,1,0,49,0
13,SHP0098,98,8,5,1,0,0,0,0,0
14,SHP0137,137,5,0,2,1,0,0,0,0
15,SHP0365,365,5,1,0,2,0,0,0,0
16,SHP0352,352,8,4,1,1,0,0,0,0
17,SHP0376,376,5,2,0,1,0,0,0,0
18,SHP0410,410,7,4,1,0,0,0,0,0
19,SHP0340,340,5,1,1,0,0,1,0,71
20,SHP0254,254,7,3,0,2,0,0,0,0
21,SHP0275,275,8,3,1,1,0,1,0,78
22,SHP0179,179,8,4,1,1,0,0,0,0
23,SHP0203,203,8,4,1,1,0,0,0,0
24,SHP0277,277,8,5,0,0,1,0,32,0
25,SHP0346,346,7,1,1,2,1,0,13,0
26,SHP0188,188,5,1,0,2,0,0,0,0
27,SHP0316,316,7,4,0,1,0,0,0,0
28,SHP0030,30,8,4,0,0,1,1,13,26
29,SHP0283,283,6,3,0,1,0,0,0,0
30,SHP0120,120,7,2,1,2,0,0,0,0
31,SHP0327,327,8,3,1,1,1,0,40,0
32,SHP0182,182,6,4,0,0,0,0,0,0
33,SHP0330,330,6,3,0,1,0,0,0,0
34,SHP0382,382,7,4,1,0,0,0,0,0
35,SHP0224,224,6,3,1,0,0,0,0,0
36,SHP0169,169,6,4,0,0,0,0,0,0
37,SHP0405,405,8,2,3,1,0,0,0,0
38,SHP0465,465,8,6,0,0,0,0,0,0
39,SHP0290,290,8,3,0,3,0,0,0,0
40,SHP0193,193,6,2,1,1,0,0,0,0
41,SHP0128,128,6,3,0,0,0,1,0,75
42,SHP0313,313,5,2,0,0,1,0,54,0
43,SHP0152,152,8,2,1,3,0,0,0,0
44,SHP0037,37,6,2,1,0,1,0,44,0
45,SHP0060,60,5,2,1,0,0,0,0,0
46,SHP0032,32,5,3,0,0,0,0,0,0
47,SHP0178,178,6,3,1,0,0,0,0,0
48,SHP0209,209,8,4,1,1,0,0,0,0
49,SHP0122,122,8,3,1,0,2,0,37,0
50,SHP0004,4,5,2,0,1,0,0,0,0
51,SHP0218,218,8,5,1,0,0,0,0,0
52,SHP0360,360,8,4,1,1,0,0,0,0
53,SHP0334,334,7,3,0,1,0,1,0,19
54,SHP0414,414,5,0,1,1,1,0,22,0
55,SHP0353,353,5,3,0,0,0,0,0,0
