sensor_log_key,shipment_id,shipment_key,total_readings,missing_readings,offline_readings,avg_temperature_c,min_temperature_c,max_temperature_c,stddev_temperature_c,excursion_records,avg_battery_level,avg_signal_strength
1,SHP0126,126,15,0,0,5.149,4.44,5.83,0.396,,83.99,84.8
2,SHP0481,481,32,0,4,-21.096,-21.8,-20.06,0.412,,84.71,71.72
3,SHP0253,253,59,0,0,-21.003,-22.1,-20.33,0.405,,83.73,83.42
4,SHP0277,277,38,0,0,-20.912,-21.57,-19.65,0.382,,87.17,86.42
5,SHP0346,346,31,0,0,5.011,4.34,5.85,0.394,,86.34,88.0
6,SHP0188,188,44,0,0,-20.965,-21.77,-20.31,0.311,,85.93,85.77
7,SHP0283,283,38,1,0,4.931,3.88,5.84,0.462,,84.93,85.76
8,SHP0327,327,38,0,0,4.999,4.11,5.82,0.484,,86.87,85.0
9,SHP0224,224,23,0,0,-20.907,-21.51,-20.26,0.374,,86.52,85.26
10,SHP0290,290,46,0,0,4.919,4.09,6.03,0.36,,84.23,85.74
11,SHP0152,152,51,0,0,-20.539,-21.78,-15.04,1.564,,84.98,83.78
12,SHP0209,209,64,0,0,-20.666,-22.0,-15.43,1.303,,84.12,86.02
13,SHP0004,4,56,0,0,-21.016,-21.77,-20.01,0.388,,85.45,84.52
14,SHP0414,414,73,0,0,4.983,4.21,6.03,0.383,,84.12,85.62
15,SHP0160,160,33,0,0,5.627,3.92,11.81,2.025,,85.24,86.45
16,SHP0018,18,14,0,0,-20.891,-21.44,-19.97,0.396,,79.84,91.21
17,SHP0269,269,65,0,0,-21.026,-22.19,-20.11,0.42,,85.57,83.71
18,SHP0292,292,20,0,0,4.796,3.92,5.89,0.483,,84.78,83.7
19,SHP0462,462,39,0,0,-20.991,-21.67,-20.21,0.379,,84.08,84.77
20,SHP0370,370,40,0,0,5.063,4.09,5.78,0.412,,85.8,86.1
21,SHP0248,248,45,0,0,-21.046,-21.8,-20.33,0.379,,84.25,84.24
22,SHP0318,318,68,0,0,5.041,4.01,6.22,0.393,,85.17,85.85
23,SHP0274,274,67,0,0,5.025,3.89,6.09,0.399,,82.9,84.31
24,SHP0288,288,26,0,0,5.853,4.43,11.03,2.051,,85.59,86.04
25,SHP0076,76,63,0,0,5.502,4.22,13.48,1.677,,84.68,84.95
26,SHP0183,183,35,0,0,-20.673,-21.86,-6.99,2.413,,83.8,84.46
27,SHP0482,482,24,1,0,5.658,4.14,11.58,1.87,,86.1,88.0
28,SHP0349,349,36,0,0,-21.063,-22.33,-20.16,0.47,,85.16,86.03
29,SHP0272,272,46,0,0,4.992,4.25,5.59,0.361,,84.72,85.7
30,SHP0057,57,53,0,0,5.41,4.21,11.39,1.51,,87.08,84.25
31,SHP0066,66,46,0,0,5.143,3.99,5.8,0.424,,81.4,85.43
32,SHP0285,285,33,0,0,-20.992,-22.21,-20.22,0.404,,85.71,86.94
33,SHP0229,229,30,0,0,4.981,4.23,6.11,0.486,,83.17,85.43
34,SHP0142,142,19,0,0,4.941,3.84,5.67,0.49,,84.43,85.63
35,SHP0389,389,70,0,0,-20.774,-22.03,-15.44,1.126,,87.16,85.2
36,SHP0204,204,30,0,0,-20.297,-21.95,-15.07,1.728,,86.96,86.0
37,SHP0033,33,25,0,0,4.99,4.2,6.03,0.456,,84.35,84.8
38,SHP0153,153,41,0,0,-21.033,-21.92,-19.89,0.463,,86.69,85.44
39,SHP0279,279,59,0,4,-20.723,-22.33,-15.75,1.312,,84.3,78.24
40,SHP0255,255,35,0,0,-20.985,-21.8,-20.18,0.405,,85.41,87.71
41,SHP0281,281,65,0,0,-20.952,-21.81,-19.99,0.39,,84.44,84.29
42,SHP0114,114,62,0,0,5.025,3.73,5.96,0.366,,85.25,84.35
43,SHP0029,29,57,0,0,5.046,3.84,5.96,0.407,,84.55,84.91
44,SHP0305,305,34,0,0,-20.971,-21.93,-20.23,0.417,,86.32,89.06
45,SHP0315,315,43,0,0,4.972,4.08,5.64,0.401,,86.11,82.98
46,SHP0097,97,31,0,0,4.817,3.92,5.66,0.394,,86.7,85.23
47,SHP0135,135,66,0,0,5.016,3.9,5.83,0.404,,83.51,84.62
48,SHP0104,104,44,0,0,-20.591,-21.95,-15.01,1.595,,84.43,86.23
49,SHP0093,93,63,0,0,-21.059,-21.88,-20.34,0.36,,84.63,83.78
50,SHP0222,222,14,1,0,4.894,4.3,5.46,0.338,,81.76,86.64
51,SHP0127,127,21,0,0,-21.071,-21.65,-20.19,0.408,,86.32,86.52
52,SHP0198,198,29,0,0,4.987,4.11,6.35,0.455,,83.84,85.62
53,SHP0086,86,16,0,0,-20.824,-21.59,-20.08,0.516,,87.13,84.44
54,SHP0450,450,46,0,0,4.991,4.03,5.94,0.407,,83.61,85.33
55,SHP0417,417,67,0,0,5.012,3.95,6.16,0.461,,84.71,85.18
56,SHP0332,332,50,0,0,-20.929,-21.93,-20.21,0.371,,85.81,84.58
57,SHP0438,438,26,0,0,5.058,4.27,6.01,0.421,,85.29,84.73
58,SHP0498,498,35,0,0,4.973,3.98,5.77,0.376,,84.06,85.14
59,SHP0490,490,40,0,0,4.957,3.88,5.8,0.43,,83.2,82.38
60,SHP0121,121,34,0,0,-20.956,-21.84,-20.04,0.49,,84.5,85.21
61,SHP0053,53,37,0,0,-21.033,-21.98,-20.43,0.331,,83.95,82.81
62,SHP0492,492,14,0,0,-21.033,-21.56,-20.46,0.324,,86.74,90.86
63,SHP0307,307,28,0,0,5.066,4.3,5.91,0.424,,85.06,82.46
64,SHP0362,362,55,0,0,4.958,4.03,5.76,0.407,,83.63,83.24
65,SHP0176,176,43,0,0,4.986,3.78,6.18,0.472,,83.88,86.05
66,SHP0485,485,41,0,0,4.974,4.11,5.81,0.402,,86.02,86.0
67,SHP0235,235,51,0,0,-20.949,-21.96,-20.13,0.414,,84.85,82.06
68,SHP0325,325,71,0,0,-20.68,-22.23,-1.9,2.297,,84.88,84.59
69,SHP0136,136,61,0,0,-21.022,-22.13,-19.87,0.438,,85.58,85.02
70,SHP0383,383,13,0,0,5.107,4.52,5.61,0.368,,84.28,81.46
71,SHP0146,146,23,0,0,-20.808,-21.6,-19.94,0.4,,83.12,87.0
72,SHP0455,455,42,0,0,-20.952,-22.01,-20.35,0.404,,85.67,83.31
73,SHP0116,116,39,0,0,4.893,4.16,6.1,0.42,,82.09,82.28
74,SHP0213,213,51,0,0,-20.971,-21.78,-19.74,0.39,,83.12,85.16
75,SHP0469,469,67,0,0,4.989,3.67,5.7,0.434,,85.19,85.27
76,SHP0388,388,41,0,0,-21.027,-22.1,-19.91,0.431,,85.05,85.98
77,SHP0083,83,49,0,0,-21.011,-22.17,-20.09,0.429,,83.83,83.63
78,SHP0336,336,24,0,0,5.882,4.6,11.48,2.107,,85.01,89.29
79,SHP0268,268,59,0,0,4.931,4.22,5.59,0.332,,84.98,84.95
80,SHP0080,80,69,0,0,-20.959,-22.0,-20.22,0.395,,84.26,85.46
81,SHP0263,263,69,0,0,-21.014,-21.76,-20.21,0.39,,85.76,85.49
82,SHP0027,27,19,1,0,5.205,4.72,5.86,0.393,,86.1,86.11
83,SHP0094,94,16,0,0,5.052,4.24,5.67,0.443,,85.93,87.5
84,SHP0189,189,72,0,0,-20.739,-22.14,-15.14,1.23,,83.87,86.82
85,SHP0323,323,65,0,0,-20.412,-22.13,-2.28,2.616,,85.59,82.28
86,SHP0006,6,43,0,0,-20.478,-21.81,-15.03,1.561,,87.83,84.84
87,SHP0429,429,56,0,4,-20.6,-22.2,-15.17,1.23,,85.11,77.8
88,SHP0244,244,37,0,0,-20.977,-21.83,-20.08,0.371,,84.51,85.65
89,SHP0348,348,62,0,0,-21.009,-21.76,-20.34,0.383,,83.65,86.47
90,SHP0051,51,48,0,0,-20.958,-22.18,-19.74,0.397,,84.69,82.31
91,SHP0009,9,28,0,0,5.094,4.51,5.84,0.318,,84.54,84.11
92,SHP0045,45,54,0,0,5.061,3.92,5.74,0.394,,84.12,83.83
93,SHP0157,157,51,0,0,5.311,-4.01,11.68,2.198,,87.03,83.94
94,SHP0092,92,49,0,0,4.882,4.21,5.52,0.316,,86.8,85.27
95,SHP0379,379,62,0,0,-20.934,-21.8,-20.1,0.427,,86.14,84.44
96,SHP0406,406,70,0,0,5.019,4.35,5.97,0.318,,85.73,86.33
97,SHP0335,335,58,0,0,-21.0,-21.73,-20.01,0.409,,84.52,83.9
98,SHP0016,16,18,0,0,-20.958,-21.71,-20.25,0.414,,84.17,81.67
99,SHP0044,44,18,1,4,5.129,4.46,5.78,0.36,,87.87,65.83
100,SHP0298,298,58,0,0,5.045,4.19,5.82,0.384,,82.92,87.12
101,SHP0256,256,42,0,0,5.016,4.0,6.03,0.427,,84.9,84.95
102,SHP0046,46,44,0,0,4.9,4.25,5.87,0.388,,82.25,83.52
103,SHP0211,211,17,0,0,5.127,4.44,5.94,0.434,,84.67,85.94
104,SHP0172,172,48,0,0,-21.033,-22.29,-20.24,0.408,,83.02,86.42
105,SHP0202,202,13,0,0,5.025,4.47,5.65,0.324,,83.73,84.46
106,SHP0366,366,70,0,0,-21.085,-22.24,-19.94,0.465,,83.67,84.4
107,SHP0478,478,52,0,0,-21.037,-21.81,-20.08,0.389,,83.9,85.52
108,SHP0236,236,26,0,0,5.902,4.18,11.34,2.056,,84.28,87.23
109,SHP0125,125,43,0,0,5.025,4.26,6.17,0.388,,86.35,82.95
110,SHP0245,245,35,0,0,4.905,4.32,5.87,0.357,,86.13,82.23
111,SHP0021,21,19,0,0,5.063,4.37,5.72,0.378,,86.63,84.95
112,SHP0007,7,27,0,0,5.927,4.39,11.69,2.204,,84.83,86.22
113,SHP0284,284,36,0,0,-20.949,-21.67,-20.02,0.431,,83.82,81.36
114,SHP0214,214,28,0,0,-21.035,-21.85,-20.37,0.402,,85.9,86.07
115,SHP0373,373,64,0,0,-20.995,-22.0,-19.99,0.439,,85.54,83.81
116,SHP0282,282,55,0,4,5.099,3.81,6.04,0.456,,86.05,79.04
117,SHP0205,205,59,0,0,5.018,4.14,9.14,0.668,,84.94,85.53
118,SHP0420,420,71,0,0,-20.979,-22.1,-20.19,0.439,,84.26,83.51
119,SHP0130,130,52,0,0,-21.103,-21.87,-20.46,0.361,,86.95,85.73
120,SHP0265,265,26,0,0,-20.891,-22.21,-20.2,0.519,,83.88,81.77
121,SHP0103,103,49,0,0,4.95,4.3,5.68,0.36,,85.72,84.86
122,SHP0074,74,46,1,0,4.909,4.0,5.76,0.382,,85.05,85.24
123,SHP0251,251,44,0,0,-21.08,-22.09,-20.0,0.411,,83.97,84.07
124,SHP0254,254,61,0,0,-20.954,-21.94,-20.21,0.331,,84.2,86.08
125,SHP0203,203,23,0,0,4.929,4.02,5.65,0.367,,81.02,85.04
126,SHP0382,382,68,0,0,5.006,4.19,5.99,0.405,,84.92,87.47
127,SHP0128,128,53,0,0,-20.978,-21.6,-19.96,0.384,,84.83,84.11
128,SHP0313,313,19,0,0,4.854,3.97,5.54,0.449,,85.85,86.79
129,SHP0037,37,50,0,0,-20.919,-21.7,-19.96,0.348,,87.17,83.9
130,SHP0032,32,66,0,0,-20.975,-21.68,-20.02,0.38,,86.05,87.71
131,SHP0218,218,33,0,4,4.946,4.14,5.82,0.356,,84.31,73.88
132,SHP0271,271,48,1,0,4.967,3.82,5.69,0.395,,82.11,84.29
133,SHP0408,408,54,0,0,-20.601,-22.03,-15.04,1.373,,86.71,84.31
134,SHP0403,403,29,0,0,-20.957,-21.55,-19.81,0.354,,85.92,84.34
135,SHP0500,500,25,0,0,-20.997,-21.74,-20.02,0.436,,83.56,83.44
136,SHP0231,231,53,0,0,-20.98,-21.71,-20.23,0.341,,85.16,85.42
137,SHP0463,463,52,0,0,5.343,4.0,10.87,1.47,,85.51,84.73
138,SHP0386,386,56,1,0,5.049,4.4,6.1,0.4,,83.7,83.21
139,SHP0456,456,40,0,0,5.047,4.46,5.82,0.361,,85.54,85.8
140,SHP0220,220,43,0,0,-20.938,-22.01,-20.33,0.409,,84.44,84.47
141,SHP0419,419,31,0,0,5.381,4.4,15.34,1.886,,87.61,84.87
142,SHP0139,139,58,0,0,4.929,4.0,6.24,0.468,,85.98,85.79
143,SHP0347,347,62,0,0,-21.031,-21.88,-20.07,0.385,,85.08,85.42
144,SHP0068,68,43,0,4,5.043,4.23,6.08,0.437,,85.18,76.51
145,SHP0143,143,69,0,0,5.056,4.07,5.89,0.441,,85.28,83.14
146,SHP0384,384,13,0,0,-20.982,-21.83,-20.42,0.481,,86.32,84.69
147,SHP0252,252,59,0,0,5.371,4.31,11.98,1.446,,82.79,84.39
148,SHP0491,491,31,0,0,-21.06,-22.14,-20.15,0.506,,88.05,85.55
149,SHP0221,221,34,0,0,4.999,4.27,5.64,0.338,,84.22,85.47
150,SHP0180,180,45,0,0,4.977,3.89,5.85,0.421,,86.96,83.18
151,SHP0031,31,27,0,4,-21.064,-22.0,-20.08,0.524,,86.55,75.85
152,SHP0415,415,19,0,0,-20.894,-21.82,-20.32,0.348,,87.54,82.47
153,SHP0493,493,58,0,0,5.007,4.06,5.74,0.36,,86.55,84.45
154,SHP0173,173,43,0,0,5.002,4.17,5.95,0.432,,85.24,82.74
155,SHP0303,303,45,0,0,4.964,4.39,5.84,0.31,,84.39,83.8
156,SHP0020,20,30,0,0,5.012,4.26,6.05,0.447,,86.04,86.6
157,SHP0423,423,38,0,0,-21.066,-21.82,-20.28,0.366,,86.54,84.16
158,SHP0148,148,52,0,0,-21.004,-21.63,-20.24,0.359,,84.74,84.35
159,SHP0195,195,31,0,0,-20.521,-21.71,-6.36,2.661,,83.8,85.48
160,SHP0036,36,49,0,0,-20.921,-21.79,-20.13,0.397,,86.05,84.41
161,SHP0217,217,25,0,0,4.884,4.2,5.75,0.406,,81.3,82.48
162,SHP0067,67,49,0,0,-20.686,-21.52,-15.06,1.301,,85.52,85.14
163,SHP0159,159,66,0,0,5.343,4.05,11.67,1.553,,84.8,86.48
164,SHP0113,113,51,0,0,5.02,4.35,5.86,0.336,,87.28,82.22
165,SHP0357,357,27,0,0,4.985,4.28,5.52,0.333,,89.48,87.33
166,SHP0390,390,69,0,0,-20.992,-22.17,-20.03,0.418,,84.54,84.59
167,SHP0186,186,26,0,0,5.123,4.33,6.08,0.382,,85.01,84.77
168,SHP0107,107,70,0,0,-20.725,-21.89,-15.13,1.333,,85.53,85.57
169,SHP0102,102,45,0,0,-21.022,-21.81,-20.12,0.391,,84.51,85.58
170,SHP0289,289,46,1,0,4.972,4.09,5.75,0.371,,84.86,84.37
171,SHP0234,234,62,0,0,4.99,4.15,5.81,0.384,,83.62,86.55
172,SHP0026,26,28,1,4,5.023,4.18,5.72,0.377,,82.74,75.07
173,SHP0494,494,22,0,0,-21.093,-22.05,-20.51,0.343,,83.6,83.14
174,SHP0005,5,52,1,0,-20.953,-21.61,-19.91,0.374,,85.73,84.38
175,SHP0300,300,39,0,0,-20.607,-21.95,-16.01,1.41,,84.28,85.21
176,SHP0134,134,36,0,0,-20.399,-21.67,-15.1,1.606,,85.27,85.53
177,SHP0131,131,39,0,0,4.997,4.21,5.71,0.357,,84.79,83.51
178,SHP0077,77,30,0,0,-21.121,-22.16,-20.47,0.374,,84.0,85.57
179,SHP0008,8,29,0,0,-20.277,-21.78,-16.0,1.703,,84.02,83.31
180,SHP0457,457,66,0,0,5.002,3.84,6.11,0.421,,83.41,85.88
181,SHP0141,141,33,0,0,-21.176,-21.96,-20.33,0.415,,86.73,84.09
182,SHP0443,443,38,0,0,-21.036,-21.66,-20.5,0.313,,84.01,86.0
183,SHP0237,237,17,0,0,4.879,3.9,5.86,0.496,,84.64,87.41
184,SHP0449,449,71,0,0,-20.931,-21.93,-19.98,0.378,,84.75,85.06
185,SHP0424,424,23,0,0,5.803,3.99,11.1,2.042,,85.92,87.22
186,SHP0375,375,67,0,0,-21.026,-22.14,-20.05,0.418,,85.56,84.91
187,SHP0112,112,55,1,0,4.976,3.83,5.69,0.468,,87.27,84.13
188,SHP0170,170,30,0,0,5.069,4.16,5.82,0.437,,84.82,83.37
189,SHP0071,71,35,0,0,5.013,3.8,5.63,0.399,,83.37,84.4
190,SHP0396,396,22,0,0,-21.045,-21.56,-19.96,0.322,,85.97,88.5
191,SHP0378,378,17,0,0,5.17,4.53,6.79,0.553,,85.36,82.82
192,SHP0162,162,60,0,0,-21.003,-22.0,-19.83,0.484,,86.09,85.33
193,SHP0398,398,54,0,0,5.374,4.36,10.51,1.359,,86.12,86.67
194,SHP0331,331,44,0,0,5.099,3.96,5.98,0.417,,85.37,86.61
195,SHP0328,328,62,0,0,-20.659,-21.89,-15.89,1.068,,86.16,83.82
196,SHP0034,34,56,0,0,-20.669,-21.86,-4.34,2.251,,84.88,85.13
197,SHP0430,430,48,0,0,5.0,4.13,5.84,0.364,,84.95,84.96
198,SHP0241,241,52,0,0,-20.991,-21.75,-19.99,0.382,,84.0,85.79
199,SHP0232,232,61,0,0,4.856,-4.65,5.72,1.292,,84.05,85.28
200,SHP0167,167,29,0,0,4.957,4.26,5.58,0.403,,84.47,83.14
201,SHP0014,14,42,0,0,4.942,4.28,5.76,0.377,,84.77,85.95
202,SHP0301,301,65,0,0,4.983,4.09,5.95,0.393,,87.45,83.85
203,SHP0171,171,44,0,0,5.453,4.05,10.95,1.56,,86.41,86.11
204,SHP0147,147,42,0,0,-21.033,-21.62,-20.06,0.36,,86.88,84.86
205,SHP0308,308,16,0,0,4.983,4.3,5.88,0.419,,81.78,84.69
206,SHP0063,63,67,0,0,-21.014,-22.05,-19.95,0.431,,83.41,83.79
207,SHP0286,286,20,0,4,4.842,4.23,5.52,0.352,,87.06,68.45
