handover_id,shipment_id,from_party,to_party,location,handover_time,signature_status
1,SHP0001,Warehouse,Distribution Center,Kochi Hub,2026-08-01 09:02:00,Signed
2,SHP0001,Distribution Center,Delivery Partner,Madurai Store,2026-08-01 10:03:00,Signed
3,SHP0001,Delivery Partner,Retail Store,Madurai Store,2026-08-01 10:04:00,Signed
4,SHP0002,Warehouse,Distribution Center,Kochi Hub,2026-08-07 06:58:00,Missing
5,SHP0002,Distribution Center,Distribution Center,Chennai Warehouse,2026-08-07 07:06:00,Signed
6,SHP0002,Distribution Center,Transporter,Salem Hub,2026-08-07 07:08:00,Signed
7,SHP0002,Transporter,Retail Store,Hyderabad DC,2026-08-07 07:16:00,Missing
8,SHP0003,Warehouse,Distribution Center,Kochi Hub,2026-08-04 08:45:00,Signed
9,SHP0003,Distribution Center,Delivery Partner,Chennai Warehouse,2026-08-04 09:12:00,Signed
10,SHP0003,Delivery Partner,Transporter,Bangalore DC,2026-08-04 09:28:00,Signed
11,SHP0003,Transporter,Retail Store,Coimbatore Hub,2026-08-04 09:31:00,Missing
12,SHP0004,Warehouse,Distribution Center,Kochi Hub,2026-08-05 06:41:00,Signed
13,SHP0004,Distribution Center,Retail Store,Bangalore DC,2026-08-05 07:38:00,Signed
14,SHP0005,Warehouse,Distribution Center,Hyderabad DC,2026-08-04 05:44:00,Signed
15,SHP0005,Distribution Center,Delivery Partner,Pune DC,2026-08-04 06:29:00,Missing
16,SHP0005,Delivery Partner,Transporter,Madurai Store,2026-08-04 06:31:00,Signed
17,SHP0005,Transporter,Retail Store,Pune DC,2026-08-04 06:45:00,Missing
18,SHP0006,Warehouse,Delivery Partner,Salem Hub,2026-08-06 08:11:00,Signed
19,SHP0006,Delivery Partner,Distribution Center,Hyderabad DC,2026-08-06 10:51:00,Signed
20,SHP0006,Distribution Center,Retail Store,Salem Hub,2026-08-06 11:10:00,Signed
21,SHP0007,Warehouse,Transporter,Coimbatore Hub,2026-08-04 08:15:00,Signed
22,SHP0007,Transporter,Distribution Center,Coimbatore Hub,2026-08-04 08:22:00,Missing
23,SHP0007,Distribution Center,Retail Store,Pune DC,2026-08-04 08:42:00,Signed
24,SHP0008,Warehouse,Distribution Center,Chennai Warehouse,2026-08-05 09:42:00,Signed
25,SHP0008,Distribution Center,Retail Store,Hyderabad DC,2026-08-05 10:44:00,Signed
26,SHP0009,Warehouse,Delivery Partner,Hyderabad DC,2026-08-07 10:43:00,Signed
27,SHP0009,Delivery Partner,Delivery Partner,Salem Hub,2026-08-07 11:05:00,Signed
28,SHP0009,Delivery Partner,Transporter,Salem Hub,2026-08-07 11:26:00,Signed
