batch_id,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date
B0001,Frozen French Fries,Frozen,-25.0,-18.0,78,2026-08-22
B0002,Frozen French Fries,Frozen,-25.0,-18.0,151,2026-08-28
B0003,Yogurt,Chilled,2.0,8.0,78,2026-08-28
B0004,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,75,2026-08-22
B0005,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,212,2026-08-16
B0006,Frozen Peas,Frozen,-25.0,-18.0,144,2026-08-07
B0007,Fresh Cream,Chilled,2.0,8.0,81,2026-08-29
B0008,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,292,2026-08-17
B0009,Fresh Milk,Chilled,2.0,8.0,279,2026-08-24
B0010,Fresh Milk,Chilled,2.0,8.0,235,2026-08-30
B0011,Fresh Milk,Chilled,2.0,8.0,241,2026-08-15
B0012,Yogurt,Chilled,2.0,8.0,242,2026-08-09
B0013,Fresh Cream,Chilled,2.0,8.0,295,2026-08-28
B0014,Cheese,Chilled,2.0,8.0,243,2026-08-30
B0015,Fresh Paneer,Chilled,2.0,8.0,145,2026-08-30
B0016,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,250,2026-08-11
B0017,Fresh Cream,Chilled,2.0,8.0,214,2026-08-14
B0018,Frozen French Fries,Frozen,-25.0,-18.0,186,2026-08-09
B0019,Yogurt,Chilled,2.0,8.0,201,2026-08-29
B0020,Fresh Paneer,Chilled,2.0,8.0,163,2026-08-23
B0021,Fresh Cream,Chilled,2.0,8.0,25,2026-08-20
B0022,Frozen Peas,Frozen,-25.0,-18.0,143,2026-08-27
B0023,Cheese,Chilled,2.0,8.0,143,2026-08-26
B0024,Cheese,Chilled,2.0,8.0,249,2026-08-29
B0025,Frozen Peas,Frozen,-25.0,-18.0,170,2026-08-11
B0026,Yogurt,Chilled,2.0,8.0,176,2026-08-25
B0027,Cheese,Chilled,2.0,8.0,291,2026-08-15
B0028,Fresh Cream,Chilled,2.0,8.0,189,2026-08-15
B0029,Fresh Paneer,Chilled,2.0,8.0,176,2026-08-12
B0030,Frozen Peas,Frozen,-25.0,-18.0,118,2026-08-14
B0031,Frozen Paneer,Frozen,-25.0,-18.0,114,2026-08-10
B0032,Frozen French Fries,Frozen,-25.0,-18.0,161,2026-08-27
B0033,Fresh Milk,Chilled,2.0,8.0,119,2026-08-13
B0034,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,111,2026-08-13
B0035,Frozen Paneer,Frozen,-25.0,-18.0,84,2026-08-12
B0036,Frozen Peas,Frozen,-25.0,-18.0,169,2026-08-26
B0037,Frozen French Fries,Frozen,-25.0,-18.0,72,2026-08-31
B0038,Frozen Paneer,Frozen,-25.0,-18.0,165,2026-08-19
B0039,Cheese,Chilled,2.0,8.0,194,2026-08-09
B0040,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,264,2026-08-07
B0041,Frozen French Fries,Frozen,-25.0,-18.0,271,2026-08-06
B0042,Frozen Corn,Frozen,-25.0,-18.0,96,2026-08-29
B0043,Fresh Milk,Chilled,2.0,8.0,147,2026-08-07
B0044,Fresh Cream,Chilled,2.0,8.0,135,2026-08-28
B0045,Cheese,Chilled,2.0,8.0,246,2026-08-13
B0046,Fresh Paneer,Chilled,2.0,8.0,50,2026-08-23
B0047,Frozen Corn,Frozen,-25.0,-18.0,128,2026-08-12
B0048,Frozen Corn,Frozen,-25.0,-18.0,142,2026-08-09
B0049,Frozen Corn,Frozen,-25.0,-18.0,21,2026-08-17
B0050,Fresh Cream,Chilled,2.0,8.0,260,2026-08-13
B0051,Frozen Corn,Frozen,-25.0,-18.0,167,2026-08-26
B0052,Cheese,Chilled,2.0,8.0,56,2026-08-25
B0053,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,121,2026-08-17
B0054,Frozen Paneer,Frozen,-25.0,-18.0,135,2026-08-24
B0055,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,92,2026-08-06
B0056,Frozen Corn,Frozen,-25.0,-18.0,177,2026-08-23
B0057,Cheese,Chilled,2.0,8.0,83,2026-08-18
B0058,Cheese,Chilled,2.0,8.0,159,2026-08-20
B0059,Cheese,Chilled,2.0,8.0,61,2026-08-23
B0060,Frozen French Fries,Frozen,-25.0,-18.0,185,2026-08-23
B0061,Fresh Milk,Chilled,2.0,8.0,66,2026-08-11
B0062,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,40,2026-08-28
B0063,Frozen French Fries,Frozen,-25.0,-18.0,285,2026-08-24
B0064,Fresh Paneer,Chilled,2.0,8.0,112,2026-08-22
B0065,Cheese,Chilled,2.0,8.0,66,2026-08-19
B0066,Cheese,Chilled,2.0,8.0,190,2026-08-14
B0067,Frozen Corn,Frozen,-25.0,-18.0,188,2026-08-17
B0068,Fresh Paneer,Chilled,2.0,8.0,225,2026-08-30
B0069,Frozen French Fries,Frozen,-25.0,-18.0,65,2026-08-14
B0070,Fresh Paneer,Chilled,2.0,8.0,79,2026-08-28
B0071,Fresh Cream,Chilled,2.0,8.0,20,2026-08-25
B0072,Cheese,Chilled,2.0,8.0,47,2026-08-10
B0073,Fresh Cream,Chilled,2.0,8.0,275,2026-08-24
B0074,Fresh Milk,Chilled,2.0,8.0,124,2026-08-12
