vehicle_id,vehicle_type,capacity_kg,last_shipment,recency_days,frequency,total_volume,R_score,F_score,M_score,RFM_score,RFM_segment
V093,Refrigerated Truck,2500.0,2026-08-07 09:37:00,0,7,1298,5,5,5,15,Champions
V082,Refrigerated Truck,1500.0,2026-08-07 06:06:00,0,7,1476,5,5,5,15,Champions
V060,Refrigerated Van,1000.0,2026-08-07 06:01:00,0,7,1292,4,5,5,14,Champions
V070,Refrigerated Van,1000.0,2026-08-07 09:43:00,0,7,1471,4,5,5,14,Champions
V086,Refrigerated Van,1200.0,2026-08-07 10:18:00,0,7,1125,5,5,4,14,Champions
V092,Refrigerated Van,500.0,2026-08-07 07:38:00,0,7,1154,5,5,4,14,Champions
V090,Refrigerated Truck,3000.0,2026-08-07 05:32:00,0,7,1077,5,5,4,14,Champions
V080,Refrigerated Van,750.0,2026-08-07 05:00:00,0,7,1178,5,5,4,14,Champions
V096,Refrigerated Truck,2000.0,2026-08-07 07:45:00,0,7,1203,5,5,4,14,Champions
V098,Refrigerated Truck,3000.0,2026-08-07 06:08:00,0,7,1126,5,5,4,14,Champions
V052,Refrigerated Truck,1500.0,2026-08-07 05:06:00,0,7,1245,4,4,5,13,Champions
V085,Refrigerated Van,1200.0,2026-08-07 07:25:00,0,7,1022,5,5,3,13,Champions
V047,Refrigerated Van,500.0,2026-08-07 06:11:00,0,7,1443,4,4,5,13,Champions
V061,Refrigerated Van,500.0,2026-08-07 08:07:00,0,7,1239,4,5,4,13,Champions
V075,Refrigerated Van,750.0,2026-08-07 08:23:00,0,7,889,5,5,3,13,Champions
V062,Refrigerated Truck,3000.0,2026-08-07 05:33:00,0,7,1101,4,5,4,13,Champions
V046,Refrigerated Van,1200.0,2026-08-07 09:27:00,0,7,1556,4,4,5,13,Champions
V099,Refrigerated Van,500.0,2026-08-07 05:37:00,0,7,962,5,5,3,13,Champions
V083,Refrigerated Van,1000.0,2026-08-07 09:40:00,0,7,763,5,5,2,12,Loyal Assets
V064,Refrigerated Truck,2500.0,2026-08-07 09:28:00,0,7,1062,4,5,3,12,Loyal Assets
V056,Refrigerated Van,1200.0,2026-08-07 07:08:00,0,7,1188,4,4,4,12,Loyal Assets
V053,Refrigerated Van,1000.0,2026-08-07 06:52:00,0,7,1174,4,4,4,12,Loyal Assets
V057,Refrigerated Van,1000.0,2026-08-07 10:41:00,0,7,1174,4,4,4,12,Loyal Assets
V063,Refrigerated Van,500.0,2026-08-07 08:47:00,0,7,972,4,5,3,12,Loyal Assets
V072,Refrigerated Van,1000.0,2026-08-07 07:41:00,0,6,1331,4,3,5,12,Loyal Assets
V020,Refrigerated Truck,1500.0,2026-08-07 10:13:00,0,7,1484,3,4,5,12,Loyal Assets
V065,Refrigerated Van,500.0,2026-08-07 08:02:00,0,7,927,4,5,3,12,Loyal Assets
V097,Refrigerated Truck,2000.0,2026-08-07 07:18:00,0,7,831,5,5,2,12,Loyal Assets
V026,Refrigerated Truck,2500.0,2026-08-07 06:51:00,0,7,1336,3,4,5,12,Loyal Assets
V037,Refrigerated Truck,2500.0,2026-08-07 10:27:00,0,7,1317,3,4,5,12,Loyal Assets
V041,Refrigerated Truck,2000.0,2026-08-07 08:18:00,0,6,1241,3,3,5,11,Loyal Assets
V039,Refrigerated Truck,2000.0,2026-08-07 06:50:00,0,7,1223,3,4,4,11,Loyal Assets
V040,Refrigerated Truck,3000.0,2026-08-07 06:18:00,0,7,1122,3,4,4,11,Loyal Assets
V050,Refrigerated Van,1200.0,2026-08-07 05:57:00,0,6,1208,4,3,4,11,Loyal Assets
V019,Refrigerated Truck,1500.0,2026-08-07 10:04:00,0,7,1448,3,3,5,11,Loyal Assets
V023,Refrigerated Van,750.0,2026-08-07 08:58:00,0,7,1165,3,4,4,11,Loyal Assets
V087,Refrigerated Truck,2000.0,2026-08-07 05:25:00,0,6,976,5,3,3,11,Loyal Assets
V059,Refrigerated Truck,2000.0,2026-08-07 08:28:00,0,7,1048,4,4,3,11,Loyal Assets
