event_id,shipment_id,event_type,location,event_time,duration_minutes
1,SHP0001,Departure,Kochi,2026-08-01 08:41:00,0
2,SHP0001,Checkpoint,Fuel Station,2026-08-01 08:56:00,0
3,SHP0001,Checkpoint,City Entry,2026-08-01 09:34:00,0
4,SHP0001,Cold Storage Stop,Fuel Station,2026-08-01 09:04:00,19
5,SHP0001,Cold Storage Stop,Highway Checkpoint,2026-08-01 08:57:00,19
6,SHP0001,Checkpoint,City Entry,2026-08-01 09:47:00,0
7,SHP0001,Checkpoint,Highway Checkpoint,2026-08-01 08:58:00,0
8,SHP0001,Arrival,Hyderabad,2026-08-01 10:27:00,0
9,SHP0002,Departure,Bangalore,2026-08-07 06:30:00,0
10,SHP0002,Checkpoint,Distribution Center,2026-08-07 07:53:00,0
11,SHP0002,Checkpoint,Highway Checkpoint,2026-08-07 07:59:00,0
12,SHP0002,Checkpoint,City Entry,2026-08-07 06:47:00,0
13,SHP0002,Arrival,Chennai,2026-08-07 08:09:00,0
14,SHP0003,Departure,Coimbatore,2026-08-04 06:33:00,0
15,SHP0003,Checkpoint,Rest Area,2026-08-04 09:40:00,0
16,SHP0003,Traffic Delay,Distribution Center,2026-08-04 10:01:00,17
17,SHP0003,Traffic Delay,Cold Storage Facility,2026-08-04 09:34:00,43
18,SHP0003,Cold Storage Stop,Highway Checkpoint,2026-08-04 09:02:00,9
19,SHP0003,Checkpoint,Cold Storage Facility,2026-08-04 10:06:00,0
20,SHP0003,Checkpoint,Distribution Center,2026-08-04 07:19:00,0
21,SHP0003,Arrival,Bengaluru,2026-08-04 11:20:00,0
22,SHP0004,Departure,Chennai,2026-08-05 05:55:00,0
23,SHP0004,Rest Stop,Highway Checkpoint,2026-08-05 06:22:00,31
24,SHP0004,Checkpoint,Fuel Station,2026-08-05 06:21:00,0
25,SHP0004,Checkpoint,City Entry,2026-08-05 10:16:00,0
26,SHP0004,Arrival,Madurai,2026-08-05 10:31:00,0
27,SHP0005,Departure,Coimbatore,2026-08-04 05:14:00,0
28,SHP0005,Traffic Delay,Highway Checkpoint,2026-08-04 05:38:00,36
29,SHP0005,Traffic Delay,Cold Storage Facility,2026-08-04 06:26:00,16
30,SHP0005,Cold Storage Stop,Cold Storage Facility,2026-08-04 05:54:00,19
31,SHP0005,Cold Storage Stop,Rest Area,2026-08-04 05:55:00,20
32,SHP0005,Checkpoint,Rest Area,2026-08-04 08:46:00,0
33,SHP0005,Arrival,Pune,2026-08-04 09:30:00,0
34,SHP0006,Departure,Bangalore,2026-08-06 07:56:00,0
35,SHP0006,Checkpoint,Fuel Station,2026-08-06 08:13:00,0
