log_id,sensor_id,shipment_id,recorded_at,temperature_c,battery_level,signal_strength,network_status
1,S114,SHP0001,2026-08-01 08:41:00,-20.801314338795507,93.12,81,Online
2,S114,SHP0001,2026-08-01 08:46:00,-21.055305720468475,74.73,77,Online
3,S114,SHP0001,2026-08-01 08:51:00,-20.740924584759725,90.58,72,Online
4,S114,SHP0001,2026-08-01 08:56:00,-20.39078805743679,97.93,80,Online
5,S114,SHP0001,2026-08-01 09:01:00,-21.093661349889334,88.75,94,Online
6,S114,SHP0001,2026-08-01 09:06:00,-21.093654782779673,80.67,71,Online
7,S114,SHP0001,2026-08-01 09:11:00,-20.368314873797043,91.04,74,Online
8,S114,SHP0001,2026-08-01 09:16:00,-20.693026108338838,93.74,0,Offline
9,S114,SHP0001,2026-08-01 09:21:00,-21.18778975437398,73.77,0,Offline
10,S114,SHP0001,2026-08-01 09:26:00,-20.782975982565613,76.98,0,Offline
11,S114,SHP0001,2026-08-01 09:31:00,-21.185367077124987,99.45,0,Offline
12,S114,SHP0001,2026-08-01 09:36:00,-21.186291901428103,89.34,95,Online
13,S114,SHP0001,2026-08-01 09:41:00,-5.221458089022317,83.16,98,Online
14,S114,SHP0001,2026-08-01 09:46:00,-21.76531209786312,70.64,76,Online
15,S114,SHP0001,2026-08-01 09:51:00,-21.68996713300521,80.75,82,Online
16,S114,SHP0001,2026-08-01 09:56:00,-21.22491501169639,77.52,74,Online
17,S114,SHP0001,2026-08-01 10:01:00,-21.40513244813377,84.56,71,Online
18,S114,SHP0001,2026-08-01 10:06:00,-20.87430106696189,86.77,84,Online
19,S114,SHP0001,2026-08-01 10:11:00,-21.363209630208484,90.91,87,Online
20,S114,SHP0001,2026-08-01 10:16:00,-21.564921480534117,87.0,76,Online
21,S114,SHP0001,2026-08-01 10:21:00,-20.41374049243138,80.43,87,Online
22,S114,SHP0001,2026-08-01 10:26:00,-21.090310520194613,84.05,93,Online
23,S058,SHP0002,2026-08-07 06:30:00,-20.97298871812483,70.02,84,Online
24,S058,SHP0002,2026-08-07 06:35:00,-21.569899274485383,85.18,90,Online
25,S058,SHP0002,2026-08-07 06:40:00,-21.217753089810074,75.57,93,Online
26,S058,SHP0002,2026-08-07 06:45:00,-20.955630964116054,88.59,70,Online
27,S058,SHP0002,2026-08-07 06:50:00,-21.46039743096892,93.28,81,Online
28,S058,SHP0002,2026-08-07 06:55:00,-20.84972079266173,79.62,77,Online
29,S058,SHP0002,2026-08-07 07:00:00,-21.240255475967523,89.75,72,Online
30,S058,SHP0002,2026-08-07 07:05:00,-21.116677499917312,94.57,87,Online
31,S058,SHP0002,2026-08-07 07:10:00,-21.24068264489176,85.72,76,Online
32,S058,SHP0002,2026-08-07 07:15:00,-20.259088726196424,92.97,85,Online
33,S058,SHP0002,2026-08-07 07:20:00,,88.39,74,Online
34,S058,SHP0002,2026-08-07 07:25:00,-21.42308437158236,82.29,80,Online
35,S058,SHP0002,2026-08-07 07:30:00,-20.670982035158723,73.31,80,Online
36,S058,SHP0002,2026-08-07 07:35:00,-21.488337459988408,89.77,86,Online
37,S058,SHP0002,2026-08-07 07:40:00,-20.916454561998098,95.06,71,Online
38,S058,SHP0002,2026-08-07 07:45:00,-21.78386804955191,75.36,74,Online
39,S058,SHP0002,2026-08-07 07:50:00,-21.531274419559374,76.06,71,Online
40,S058,SHP0002,2026-08-07 07:55:00,-20.92125550565235,75.75,85,Online
41,S058,SHP0002,2026-08-07 08:00:00,-20.704613368001837,87.13,71,Online
42,S058,SHP0002,2026-08-07 08:05:00,-20.93145268752401,81.66,96,Online
43,S052,SHP0003,2026-08-04 06:33:00,4.953740687044704,91.54,89,Online
44,S052,SHP0003,2026-08-04 06:38:00,4.8795585217642845,97.91,70,Online
45,S052,SHP0003,2026-08-04 06:43:00,4.408591203853029,89.67,76,Online
46,S052,SHP0003,2026-08-04 06:48:00,4.7120623166421165,96.69,99,Online
47,S052,SHP0003,2026-08-04 06:53:00,4.815744491616085,84.04,72,Online
48,S052,SHP0003,2026-08-04 06:58:00,5.4228488904875665,71.82,90,Online
49,S052,SHP0003,2026-08-04 07:03:00,5.137447315827385,92.3,87,Online
50,S052,SHP0003,2026-08-04 07:08:00,4.294783937854906,82.48,98,Online
51,S052,SHP0003,2026-08-04 07:13:00,5.129633587757918,93.83,81,Online
52,S052,SHP0003,2026-08-04 07:18:00,4.845967087833474,94.71,71,Online
53,S052,SHP0003,2026-08-04 07:23:00,4.729231199877616,85.87,78,Online
54,S052,SHP0003,2026-08-04 07:28:00,5.244670515536347,72.11,93,Online
55,S052,SHP0003,2026-08-04 07:33:00,5.41239980899838,72.34,79,Online
56,S052,SHP0003,2026-08-04 07:38:00,5.372512047646479,98.82,76,Online
57,S052,SHP0003,2026-08-04 07:43:00,4.664312990710944,73.04,73,Online
58,S052,SHP0003,2026-08-04 07:48:00,4.876315049659514,85.95,77,Online
59,S052,SHP0003,2026-08-04 07:53:00,5.132505372561425,75.79,76,Online
60,S052,SHP0003,2026-08-04 07:58:00,5.390218050848944,77.46,91,Online
61,S052,SHP0003,2026-08-04 08:03:00,4.808330304861884,98.43,90,Online
62,S052,SHP0003,2026-08-04 08:08:00,4.9257364093344735,92.48,87,Online
63,S052,SHP0003,2026-08-04 08:13:00,4.557466010397588,92.38,83,Online
64,S052,SHP0003,2026-08-04 08:18:00,4.5215173503677315,89.16,94,Online
65,S052,SHP0003,2026-08-04 08:23:00,5.32501032895768,90.23,81,Online
66,S052,SHP0003,2026-08-04 08:28:00,5.542496011428329,89.96,92,Online
67,S052,SHP0003,2026-08-04 08:33:00,4.971195951367866,73.12,98,Online
68,S052,SHP0003,2026-08-04 08:38:00,5.401413159156809,75.41,95,Online
69,S052,SHP0003,2026-08-04 08:43:00,5.144654410019053,85.14,82,Online
70,S052,SHP0003,2026-08-04 08:48:00,4.741952098157951,74.75,91,Online
71,S052,SHP0003,2026-08-04 08:53:00,5.144558242203366,83.29,89,Online
72,S052,SHP0003,2026-08-04 08:58:00,5.615214626586388,97.07,81,Online
73,S052,SHP0003,2026-08-04 09:03:00,4.985669584356019,99.74,87,Online
74,S052,SHP0003,2026-08-04 09:08:00,5.625857462325603,95.35,80,Online
75,S052,SHP0003,2026-08-04 09:13:00,3.952101958364102,92.93,83,Online
76,S052,SHP0003,2026-08-04 09:18:00,5.32876100175009,94.78,83,Online
77,S052,SHP0003,2026-08-04 09:23:00,5.034818827295268,88.25,80,Online
78,S052,SHP0003,2026-08-04 09:28:00,4.880397059813653,86.37,88,Online
79,S052,SHP0003,2026-08-04 09:33:00,5.036704310614201,92.97,82,Online
80,S052,SHP0003,2026-08-04 09:38:00,4.204972434159643,92.34,99,Online
81,S052,SHP0003,2026-08-04 09:43:00,4.912131244864995,98.85,81,Online
82,S052,SHP0003,2026-08-04 09:48:00,5.1428450286046985,98.79,84,Online
83,S052,SHP0003,2026-08-04 09:53:00,5.591157617896607,91.79,70,Online
84,S052,SHP0003,2026-08-04 09:58:00,4.792691912690541,87.87,79,Online
85,S052,SHP0003,2026-08-04 10:03:00,4.676602558842725,74.05,86,Online
86,S052,SHP0003,2026-08-04 10:08:00,4.799297182566185,79.06,98,Online
87,S052,SHP0003,2026-08-04 10:13:00,5.366160847080829,99.53,79,Online
88,S052,SHP0003,2026-08-04 10:18:00,5.131500443863874,95.67,76,Online
89,S052,SHP0003,2026-08-04 10:23:00,4.788095918493185,93.15,70,Online
90,S052,SHP0003,2026-08-04 10:28:00,5.205306973245342,90.69,100,Online
91,S052,SHP0003,2026-08-04 10:33:00,5.0388310197392165,97.57,78,Online
92,S052,SHP0003,2026-08-04 10:38:00,5.387457996213156,86.69,86,Online
93,S052,SHP0003,2026-08-04 10:43:00,4.719178762449059,87.15,99,Online
94,S052,SHP0003,2026-08-04 10:48:00,4.868935141360892,71.13,73,Online
95,S052,SHP0003,2026-08-04 10:53:00,4.843156738747137,74.68,81,Online
96,S052,SHP0003,2026-08-04 10:58:00,4.414594020747153,81.01,78,Online
97,S052,SHP0003,2026-08-04 11:03:00,5.11844811082583,77.5,88,Online
98,S052,SHP0003,2026-08-04 11:08:00,5.1044221088719555,94.33,78,Online
99,S052,SHP0003,2026-08-04 11:13:00,5.002045382656984,87.11,72,Online
100,S052,SHP0003,2026-08-04 11:18:00,4.906165146649942,97.54,88,Online
101,S067,SHP0004,2026-08-05 05:55:00,-21.566148296820167,91.09,92,Online
102,S067,SHP0004,2026-08-05 06:00:00,-21.168258129106142,97.23,96,Online
103,S067,SHP0004,2026-08-05 06:05:00,-21.137085806610706,89.27,89,Online
104,S067,SHP0004,2026-08-05 06:10:00,-21.32091090768865,91.92,71,Online
105,S067,SHP0004,2026-08-05 06:15:00,-21.064514284666405,81.45,88,Online
106,S067,SHP0004,2026-08-05 06:20:00,-20.838379657274185,71.68,94,Online
107,S067,SHP0004,2026-08-05 06:25:00,-20.245525639515787,80.03,94,Online
108,S067,SHP0004,2026-08-05 06:30:00,-20.930168874867263,94.51,98,Online
109,S067,SHP0004,2026-08-05 06:35:00,-20.896979843710895,97.91,83,Online
110,S067,SHP0004,2026-08-05 06:40:00,-21.029778366306466,96.09,73,Online
111,S067,SHP0004,2026-08-05 06:45:00,-21.767508486119617,92.43,77,Online
112,S067,SHP0004,2026-08-05 06:50:00,-21.010605550179687,88.07,97,Online
113,S067,SHP0004,2026-08-05 06:55:00,-20.97590791602359,89.02,70,Online
114,S067,SHP0004,2026-08-05 07:00:00,-20.014703155005886,81.47,90,Online
115,S067,SHP0004,2026-08-05 07:05:00,-21.076944385912448,85.73,79,Online
116,S067,SHP0004,2026-08-05 07:10:00,-20.879381063066553,86.2,80,Online
117,S067,SHP0004,2026-08-05 07:15:00,-21.0138847078821,79.8,74,Online
118,S067,SHP0004,2026-08-05 07:20:00,-21.467471215047812,76.62,92,Online
119,S067,SHP0004,2026-08-05 07:25:00,-20.54287087419399,90.21,71,Online
120,S067,SHP0004,2026-08-05 07:30:00,-20.69922678692529,99.13,82,Online
121,S067,SHP0004,2026-08-05 07:35:00,-20.68358722118278,87.85,94,Online
122,S067,SHP0004,2026-08-05 07:40:00,-21.363754981917896,72.7,86,Online
123,S067,SHP0004,2026-08-05 07:45:00,-20.43888227562556,78.69,83,Online
124,S067,SHP0004,2026-08-05 07:50:00,-21.56074042511691,74.44,82,Online
125,S067,SHP0004,2026-08-05 07:55:00,-20.76525716247989,72.48,80,Online
126,S067,SHP0004,2026-08-05 08:00:00,-20.123817749676007,92.36,88,Online
127,S067,SHP0004,2026-08-05 08:05:00,-21.396214530052276,81.98,87,Online
128,S067,SHP0004,2026-08-05 08:10:00,-21.22651909184111,81.96,72,Online
129,S067,SHP0004,2026-08-05 08:15:00,-20.960139453964942,93.21,83,Online
130,S067,SHP0004,2026-08-05 08:20:00,-21.20139026164648,92.86,74,Online
131,S067,SHP0004,2026-08-05 08:25:00,-21.620265372426452,86.78,85,Online
132,S067,SHP0004,2026-08-05 08:30:00,-20.97257481007759,81.86,85,Online
133,S067,SHP0004,2026-08-05 08:35:00,-21.424921485490444,75.88,88,Online
134,S067,SHP0004,2026-08-05 08:40:00,-20.81056302774593,99.91,89,Online
135,S067,SHP0004,2026-08-05 08:45:00,-21.36776969369352,77.39,86,Online
136,S067,SHP0004,2026-08-05 08:50:00,-20.380026237992983,77.99,72,Online
137,S067,SHP0004,2026-08-05 08:55:00,-21.313301316934496,79.7,83,Online
138,S067,SHP0004,2026-08-05 09:00:00,-21.12882460648227,87.28,99,Online
139,S067,SHP0004,2026-08-05 09:05:00,-20.674593113052133,90.15,73,Online
140,S067,SHP0004,2026-08-05 09:10:00,-21.492345726573582,80.96,83,Online
141,S067,SHP0004,2026-08-05 09:15:00,-20.909016026158348,79.62,76,Online
142,S067,SHP0004,2026-08-05 09:20:00,-20.477142898287028,89.66,89,Online
143,S067,SHP0004,2026-08-05 09:25:00,-21.642993293824492,79.14,94,Online
144,S067,SHP0004,2026-08-05 09:30:00,-20.926146456587077,88.49,81,Online
145,S067,SHP0004,2026-08-05 09:35:00,-20.89604688230063,83.27,95,Online
146,S067,SHP0004,2026-08-05 09:40:00,-20.687270851289075,83.21,74,Online
147,S067,SHP0004,2026-08-05 09:45:00,-21.494780284351233,94.55,99,Online
148,S067,SHP0004,2026-08-05 09:50:00,-21.52818264523371,90.56,76,Online
149,S067,SHP0004,2026-08-05 09:55:00,-20.79122337375324,92.73,74,Online
150,S067,SHP0004,2026-08-05 10:00:00,-20.881206130706726,72.57,97,Online
151,S067,SHP0004,2026-08-05 10:05:00,-20.899802859861648,71.64,93,Online
152,S067,SHP0004,2026-08-05 10:10:00,-20.86142071620121,88.63,100,Online
153,S067,SHP0004,2026-08-05 10:15:00,-21.272009888631395,96.06,74,Online
154,S067,SHP0004,2026-08-05 10:20:00,-20.907098521135598,78.63,96,Online
155,S067,SHP0004,2026-08-05 10:25:00,-20.88277101068053,90.81,80,Online
156,S067,SHP0004,2026-08-05 10:30:00,-21.285740567210546,79.15,73,Online
157,S046,SHP0005,2026-08-04 05:14:00,-20.2536901955421,77.76,94,Online
158,S046,SHP0005,2026-08-04 05:19:00,-20.810466831635285,88.69,85,Online
159,S046,SHP0005,2026-08-04 05:24:00,-21.476521398881058,90.85,74,Online
160,S046,SHP0005,2026-08-04 05:29:00,-20.737378556546467,70.55,91,Online
161,S046,SHP0005,2026-08-04 05:34:00,-21.389872668090927,97.18,88,Online
162,S046,SHP0005,2026-08-04 05:39:00,-20.68516615850302,71.3,86,Online
163,S046,SHP0005,2026-08-04 05:44:00,-20.53656176839704,71.8,75,Online
164,S046,SHP0005,2026-08-04 05:49:00,-21.328272927340684,93.68,76,Online
165,S046,SHP0005,2026-08-04 05:54:00,-20.61464954830227,78.14,89,Online
166,S046,SHP0005,2026-08-04 05:59:00,-20.8348876292254,89.64,84,Online
167,S046,SHP0005,2026-08-04 06:04:00,-20.671175936002204,72.0,70,Online
168,S046,SHP0005,2026-08-04 06:09:00,-20.241282806938422,78.14,91,Online
169,S046,SHP0005,2026-08-04 06:14:00,-21.09815524640115,97.39,97,Online
170,S046,SHP0005,2026-08-04 06:19:00,-21.301494465742994,95.93,81,Online
171,S046,SHP0005,2026-08-04 06:24:00,-21.35580577185021,78.77,70,Online
172,S046,SHP0005,2026-08-04 06:29:00,-21.326324113986175,89.48,98,Online
173,S046,SHP0005,2026-08-04 06:34:00,-21.030840683765643,99.39,77,Online
174,S046,SHP0005,2026-08-04 06:39:00,-20.86353921007334,99.3,86,Online
175,S046,SHP0005,2026-08-04 06:44:00,-20.889323680267992,97.12,73,Online
176,S046,SHP0005,2026-08-04 06:49:00,-20.66912670038559,96.0,85,Online
177,S046,SHP0005,2026-08-04 06:54:00,-20.99479924324884,72.64,87,Online
178,S046,SHP0005,2026-08-04 06:59:00,-20.418586369137074,85.02,76,Online
179,S046,SHP0005,2026-08-04 07:04:00,-21.105862733295183,86.82,84,Online
180,S046,SHP0005,2026-08-04 07:09:00,-19.911932333364152,70.64,92,Online
181,S046,SHP0005,2026-08-04 07:14:00,-20.749733060894,97.67,77,Online
182,S046,SHP0005,2026-08-04 07:19:00,-21.34286302256651,80.01,79,Online
183,S046,SHP0005,2026-08-04 07:24:00,-21.428356999224444,92.33,82,Online
184,S046,SHP0005,2026-08-04 07:29:00,-20.807011033902725,80.4,70,Online
185,S046,SHP0005,2026-08-04 07:34:00,-21.08938511413034,80.66,81,Online
186,S046,SHP0005,2026-08-04 07:39:00,-20.714399802363165,77.09,79,Online
187,S046,SHP0005,2026-08-04 07:44:00,-20.81070495017058,78.28,86,Online
188,S046,SHP0005,2026-08-04 07:49:00,-21.029131565062748,88.77,71,Online
189,S046,SHP0005,2026-08-04 07:54:00,-21.338717487227363,81.62,98,Online
190,S046,SHP0005,2026-08-04 07:59:00,-21.605938889874345,99.71,96,Online
191,S046,SHP0005,2026-08-04 08:04:00,-21.17860598082681,86.65,100,Online
192,S046,SHP0005,2026-08-04 08:09:00,-20.657440482270612,76.77,78,Online
193,S046,SHP0005,2026-08-04 08:14:00,-20.914362502347917,96.92,80,Online
194,S046,SHP0005,2026-08-04 08:19:00,-21.498295511484795,74.12,91,Online
195,S046,SHP0005,2026-08-04 08:24:00,,81.47,93,Online
196,S046,SHP0005,2026-08-04 08:29:00,-20.845873048108466,90.34,100,Online
197,S046,SHP0005,2026-08-04 08:34:00,-21.353542974480455,88.77,97,Online
198,S046,SHP0005,2026-08-04 08:39:00,-20.93850995762179,82.52,77,Online
199,S046,SHP0005,2026-08-04 08:44:00,-20.9767165126216,74.58,88,Online
200,S046,SHP0005,2026-08-04 08:49:00,-21.457188119132248,97.29,79,Online
201,S046,SHP0005,2026-08-04 08:54:00,-20.856885055860687,83.48,80,Online
202,S046,SHP0005,2026-08-04 08:59:00,-20.775686189452706,76.2,74,Online
