shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,status
SHP0001,B0001,V058,Kochi,Hyderabad,2026-08-01 08:41:00,2026-08-01 10:27:00,Completed
SHP0002,B0002,V004,Bangalore,Chennai,2026-08-07 06:30:00,2026-08-07 08:09:00,Completed
SHP0003,B0003,V046,Coimbatore,Bengaluru,2026-08-04 06:33:00,2026-08-04 11:20:00,Completed
SHP0004,B0004,V099,Chennai,Madurai,2026-08-05 05:55:00,2026-08-05 10:31:00,Completed
SHP0005,B0005,V072,Coimbatore,Pune,2026-08-04 05:14:00,2026-08-04 09:30:00,Completed
SHP0006,B0006,V043,Bangalore,Madurai,2026-08-06 07:56:00,2026-08-06 11:29:00,Completed
SHP0007,B0007,V053,Coimbatore,Salem,2026-08-04 06:41:00,2026-08-04 08:54:00,Completed
SHP0008,B0008,V046,Bangalore,Mumbai,2026-08-05 09:00:00,2026-08-05 11:24:00,Completed
SHP0009,B0009,V020,Pune,Madurai,2026-08-07 10:13:00,2026-08-07 12:30:00,Completed
SHP0010,B0010,V028,Salem,Bengaluru,2026-08-03 10:28:00,2026-08-03 13:19:00,Completed
SHP0011,B0011,V099,Bangalore,Coimbatore,2026-08-07 05:37:00,2026-08-07 09:53:00,Completed
SHP0012,B0012,V096,Madurai,Salem,2026-08-02 07:50:00,2026-08-02 10:01:00,Completed
SHP0013,B0013,V060,Hyderabad,Kochi,2026-08-02 10:05:00,2026-08-02 13:12:00,Completed
SHP0014,B0014,V052,Mumbai,Bengaluru,2026-08-03 09:46:00,2026-08-03 13:11:00,Completed
SHP0015,B0015,V002,Chennai,Kochi,2026-08-05 06:33:00,2026-08-05 11:53:00,Completed
SHP0016,B0016,V041,Hyderabad,Salem,2026-08-06 07:41:00,2026-08-06 09:08:00,Completed
SHP0017,B0017,V100,Hyderabad,Pune,2026-08-06 08:07:00,2026-08-06 11:10:00,Completed
SHP0018,B0018,V062,Pune,Bengaluru,2026-08-07 05:33:00,2026-08-07 06:39:00,Completed
SHP0019,B0019,V031,Madurai,Coimbatore,2026-08-01 08:55:00,2026-08-01 14:46:00,Completed
SHP0020,B0020,V011,Salem,Madurai,2026-08-06 09:43:00,2026-08-06 12:11:00,Completed
SHP0021,B0021,V097,Pune,Bangalore,2026-08-01 05:37:00,2026-08-01 07:11:00,Completed
SHP0022,B0022,V002,Chennai,Kochi,2026-08-03 06:02:00,2026-08-03 07:32:00,Completed
SHP0023,B0023,V037,Salem,Mumbai,2026-08-04 07:40:00,2026-08-04 12:56:00,Completed
SHP0024,B0024,V092,Salem,Bangalore,2026-08-04 10:34:00,2026-08-04 16:09:00,Completed
SHP0025,B0025,V010,Bengaluru,Coimbatore,2026-08-06 07:05:00,2026-08-06 10:43:00,Completed
SHP0026,B0026,V026,Bangalore,Mumbai,2026-08-07 06:51:00,2026-08-07 09:10:00,Completed
SHP0027,B0027,V019,Mumbai,Madurai,2026-08-05 08:37:00,2026-08-05 10:10:00,Completed
SHP0028,B0028,V007,Kochi,Salem,2026-08-06 10:54:00,2026-08-06 13:56:00,Completed
SHP0029,B0029,V032,Chennai,Hyderabad,2026-08-01 05:59:00,2026-08-01 10:41:00,Completed
SHP0030,B0030,V083,Bangalore,Pune,2026-08-06 09:38:00,2026-08-06 11:06:00,Completed
SHP0031,B0031,V080,Kochi,Coimbatore,2026-08-07 05:00:00,2026-08-07 07:10:00,Completed
SHP0032,B0032,V036,Chennai,Coimbatore,2026-08-03 08:22:00,2026-08-03 13:49:00,Completed
