log_id,sensor_id,shipment_id,recorded_at,temperature_c,battery_level,signal_strength,network_status,transmission_status,buffer_status,retry_count,recovery_status
1,S114,SHP0001,2026-08-01 08:41:00,-20.801314338795507,93.12,81,Online,Uploaded,Not Buffered,0,Not Required
2,S114,SHP0001,2026-08-01 08:46:00,-21.055305720468475,74.73,77,Online,Uploaded,Not Buffered,0,Not Required
3,S114,SHP0001,2026-08-01 08:51:00,-20.740924584759725,90.58,72,Online,Uploaded,Not Buffered,0,Not Required
4,S114,SHP0001,2026-08-01 08:56:00,-20.39078805743679,97.93,80,Online,Uploaded,Not Buffered,0,Not Required
5,S114,SHP0001,2026-08-01 09:01:00,-21.09366134988933,88.75,94,Online,Uploaded,Not Buffered,0,Not Required
6,S114,SHP0001,2026-08-01 09:06:00,-21.093654782779677,80.67,71,Online,Uploaded,Not Buffered,0,Not Required
7,S114,SHP0001,2026-08-01 09:11:00,-20.368314873797043,91.04,74,Online,Uploaded,Not Buffered,0,Not Required
8,S114,SHP0001,2026-08-01 09:16:00,-20.69302610833884,93.74,0,Offline,Forwarded,Released,1,Recovered
9,S114,SHP0001,2026-08-01 09:21:00,-21.18778975437398,73.77,0,Offline,Forwarded,Released,1,Recovered
10,S114,SHP0001,2026-08-01 09:26:00,-20.782975982565613,76.98,0,Offline,Forwarded,Released,1,Recovered
11,S114,SHP0001,2026-08-01 09:31:00,-21.185367077124987,99.45,0,Offline,Forwarded,Released,1,Recovered
12,S114,SHP0001,2026-08-01 09:36:00,-21.186291901428103,89.34,95,Online,Uploaded,Not Buffered,0,Not Required
13,S114,SHP0001,2026-08-01 09:41:00,-5.221458089022317,83.16,98,Online,Uploaded,Not Buffered,0,Not Required
14,S114,SHP0001,2026-08-01 09:46:00,-21.76531209786312,70.64,76,Online,Uploaded,Not Buffered,0,Not Required
15,S114,SHP0001,2026-08-01 09:51:00,-21.68996713300521,80.75,82,Online,Uploaded,Not Buffered,0,Not Required
16,S114,SHP0001,2026-08-01 09:56:00,-21.22491501169639,77.52,74,Online,Uploaded,Not Buffered,0,Not Required
17,S114,SHP0001,2026-08-01 10:01:00,-21.40513244813377,84.56,71,Online,Uploaded,Not Buffered,0,Not Required
18,S114,SHP0001,2026-08-01 10:06:00,-20.87430106696189,86.77,84,Online,Uploaded,Not Buffered,0,Not Required
19,S114,SHP0001,2026-08-01 10:11:00,-21.363209630208484,90.91,87,Online,Uploaded,Not Buffered,0,Not Required
20,S114,SHP0001,2026-08-01 10:16:00,-21.56492148053412,87.0,76,Online,Uploaded,Not Buffered,0,Not Required
21,S114,SHP0001,2026-08-01 10:21:00,-20.41374049243138,80.43,87,Online,Uploaded,Not Buffered,0,Not Required
22,S114,SHP0001,2026-08-01 10:26:00,-21.090310520194613,84.05,93,Online,Uploaded,Not Buffered,0,Not Required
23,S058,SHP0002,2026-08-07 06:30:00,-20.97298871812483,70.02,84,Online,Uploaded,Not Buffered,0,Not Required
24,S058,SHP0002,2026-08-07 06:35:00,-21.569899274485383,85.18,90,Online,Uploaded,Not Buffered,0,Not Required
25,S058,SHP0002,2026-08-07 06:40:00,-21.217753089810078,75.57,93,Online,Uploaded,Not Buffered,0,Not Required
26,S058,SHP0002,2026-08-07 06:45:00,-20.95563096411605,88.59,70,Online,Uploaded,Not Buffered,0,Not Required
27,S058,SHP0002,2026-08-07 06:50:00,-21.46039743096892,93.28,81,Online,Uploaded,Not Buffered,0,Not Required
28,S058,SHP0002,2026-08-07 06:55:00,-20.84972079266173,79.62,77,Online,Uploaded,Not Buffered,0,Not Required
29,S058,SHP0002,2026-08-07 07:00:00,-21.240255475967523,89.75,72,Online,Uploaded,Not Buffered,0,Not Required
30,S058,SHP0002,2026-08-07 07:05:00,-21.116677499917312,94.57,87,Online,Uploaded,Not Buffered,0,Not Required
31,S058,SHP0002,2026-08-07 07:10:00,-21.24068264489176,85.72,76,Online,Uploaded,Not Buffered,0,Not Required
32,S058,SHP0002,2026-08-07 07:15:00,-20.259088726196424,92.97,85,Online,Uploaded,Not Buffered,0,Not Required
33,S058,SHP0002,2026-08-07 07:20:00,,88.39,74,Online,Uploaded,Not Buffered,0,Not Required
34,S058,SHP0002,2026-08-07 07:25:00,-21.42308437158236,82.29,80,Online,Uploaded,Not Buffered,0,Not Required
35,S058,SHP0002,2026-08-07 07:30:00,-20.670982035158723,73.31,80,Online,Uploaded,Not Buffered,0,Not Required
36,S058,SHP0002,2026-08-07 07:35:00,-21.488337459988408,89.77,86,Online,Uploaded,Not Buffered,0,Not Required
37,S058,SHP0002,2026-08-07 07:40:00,-20.916454561998098,95.06,71,Online,Uploaded,Not Buffered,0,Not Required
38,S058,SHP0002,2026-08-07 07:45:00,-21.78386804955191,75.36,74,Online,Uploaded,Not Buffered,0,Not Required
39,S058,SHP0002,2026-08-07 07:50:00,-21.531274419559374,76.06,71,Online,Uploaded,Not Buffered,0,Not Required
40,S058,SHP0002,2026-08-07 07:55:00,-20.92125550565235,75.75,85,Online,Uploaded,Not Buffered,0,Not Required
41,S058,SHP0002,2026-08-07 08:00:00,-20.70461336800184,87.13,71,Online,Uploaded,Not Buffered,0,Not Required
42,S058,SHP0002,2026-08-07 08:05:00,-20.93145268752401,81.66,96,Online,Uploaded,Not Buffered,0,Not Required
43,S052,SHP0003,2026-08-04 06:33:00,4.953740687044704,91.54,89,Online,Uploaded,Not Buffered,0,Not Required
44,S052,SHP0003,2026-08-04 06:38:00,4.8795585217642845,97.91,70,Online,Uploaded,Not Buffered,0,Not Required
45,S052,SHP0003,2026-08-04 06:43:00,4.408591203853029,89.67,76,Online,Uploaded,Not Buffered,0,Not Required
46,S052,SHP0003,2026-08-04 06:48:00,4.7120623166421165,96.69,99,Online,Uploaded,Not Buffered,0,Not Required
47,S052,SHP0003,2026-08-04 06:53:00,4.815744491616085,84.04,72,Online,Uploaded,Not Buffered,0,Not Required
48,S052,SHP0003,2026-08-04 06:58:00,5.422848890487567,71.82,90,Online,Uploaded,Not Buffered,0,Not Required
49,S052,SHP0003,2026-08-04 07:03:00,5.137447315827385,92.3,87,Online,Uploaded,Not Buffered,0,Not Required
50,S052,SHP0003,2026-08-04 07:08:00,4.294783937854906,82.48,98,Online,Uploaded,Not Buffered,0,Not Required
51,S052,SHP0003,2026-08-04 07:13:00,5.129633587757918,93.83,81,Online,Uploaded,Not Buffered,0,Not Required
