shipment_id,strategy,cost,delivery_time_minutes,emissions_kg,reliability,cost_score,delivery_time_minutes_score,emissions_kg_score,reliability_score,overall_score
SHP0001,Normal,176.0,158.0,140.8,0.9,79.7979797979798,69.53405017921148,75.15236755743085,90.0,79.363481005784
SHP0002,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0003,Normal,238.0,189.0,190.4,0.9,65.23373267559315,55.64516129032258,60.61884669479607,90.0,69.34349283043815
SHP0004,Normal,162.0,151.0,129.6,0.9,83.08668076109936,72.67025089605734,78.43413033286453,90.0,81.62605898086208
SHP0005,Normal,282.0,211.0,225.60000000000002,0.9,54.897815362931645,45.78853046594982,50.3047351148617,90.0,62.23253348019271
SHP0006,Normal,214.0,177.0,171.20000000000002,0.9,70.87150575522669,61.02150537634409,66.24472573839662,90.0,73.22219793057202
SHP0007,Normal,196.0,168.0,156.8,0.9,75.09983556495185,65.05376344086021,70.46413502109704,90.0,76.13122675567243
SHP0008,Normal,272.0,206.0,217.60000000000002,0.9,57.24688747944562,48.028673835125446,52.64885138302859,90.0,63.84866060524848
SHP0009,Normal,120.0,130.0,96.0,0.9,92.95278365045807,82.07885304659499,88.2794186591655,90.0,88.41379290609636
SHP0010,Normal,140.0,140.0,112.0,0.9,88.25463941743011,77.59856630824372,83.5911861228317,90.0,85.1815386559848
SHP0011,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0012,Normal,168.0,154.0,134.4,0.9,81.67723749119098,71.32616487455196,77.02766057196436,90.0,80.6563827058286
SHP0013,Normal,132.0,136.0,105.60000000000001,0.9,90.13389711064129,79.39068100358423,85.4664791373652,90.0,86.47444035602942
SHP0014,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0015,Normal,230.0,185.0,184.0,0.9,67.11299036880433,57.437275985663085,62.49413970932959,90.0,70.63639453048278
SHP0016,Normal,178.0,159.0,142.4,0.9,79.32816537467701,69.08602150537634,74.68354430379746,90.0,79.04025558077284
SHP0017,Normal,178.0,159.0,142.4,0.9,79.32816537467701,69.08602150537634,74.68354430379746,90.0,79.04025558077284
SHP0018,Normal,246.0,193.0,196.8,0.9,63.35447498238196,53.85304659498208,58.743553680262536,90.0,68.05059113039351
SHP0019,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0020,Normal,146.0,143.0,116.80000000000001,0.9,86.84519614752173,76.25448028673834,82.18471636193155,90.0,84.21186238095133
SHP0021,Normal,186.0,163.0,148.8,0.9,77.44890768146583,67.29390681003584,72.80825128926395,90.0,77.74735388072821
SHP0022,Normal,136.0,138.0,108.80000000000001,0.9,89.1942682640357,78.49462365591397,84.52883263009845,90.0,85.8279895060071
SHP0023,Normal,220.0,180.0,176.0,0.9,69.4620624853183,59.67741935483871,64.83825597749649,90.0,72.25252165553854
SHP0024,Normal,246.0,193.0,196.8,0.9,63.35447498238196,53.85304659498208,58.743553680262536,90.0,68.05059113039351
SHP0025,Normal,172.0,156.0,137.6,0.9,80.73760864458539,70.43010752688171,76.09001406469761,90.0,80.0099318558063
SHP0026,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0027,Normal,210.0,175.0,168.0,0.9,71.81113460183228,61.91756272401433,67.18237224566339,90.0,73.86864878059433
SHP0028,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0029,Normal,294.0,217.0,235.20000000000002,0.9,52.07892882311488,43.10035842293907,47.49179559306141,90.0,60.29318093012577
SHP0030,Normal,126.0,133.0,100.80000000000001,0.9,91.5433403805497,80.73476702508961,86.87294889826535,90.0,87.4441166310629
SHP0031,Normal,132.0,136.0,105.60000000000001,0.9,90.13389711064129,79.39068100358423,85.4664791373652,90.0,86.47444035602942
SHP0032,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0033,Normal,184.0,162.0,147.20000000000002,0.9,77.91872210476862,67.74193548387096,73.27707454289732,90.0,78.07057930573936
SHP0034,Normal,126.0,133.0,100.80000000000001,0.9,91.5433403805497,80.73476702508961,86.87294889826535,90.0,87.4441166310629
SHP0035,Normal,170.0,155.0,136.0,0.9,81.20742306788819,70.87813620071685,76.558837318331,90.0,80.33315728081746
SHP0036,Normal,110.0,125.0,88.0,0.9,95.30185576697204,84.31899641577061,90.6235349273324,90.0,90.02992003115214
SHP0037,Normal,212.0,176.0,169.60000000000002,0.9,71.34132017852949,61.469534050179206,66.71354899203,90.0,73.54542335558318
SHP0038,Normal,212.0,176.0,169.60000000000002,0.9,71.34132017852949,61.469534050179206,66.71354899203,90.0,73.54542335558318
SHP0039,Normal,226.0,183.0,180.8,0.9,68.05261921540992,58.33333333333333,63.43178621659634,90.0,71.28284538050508
SHP0040,Normal,154.0,147.0,123.2,0.9,84.96593845431055,74.46236559139786,80.30942334739804,90.0,82.91896068090671
SHP0041,Normal,162.0,151.0,129.6,0.9,83.08668076109936,72.67025089605734,78.43413033286453,90.0,81.62605898086208
SHP0042,Normal,234.0,187.0,187.20000000000002,0.9,66.17336152219873,56.54121863799283,61.556493202062825,90.0,69.98994368046046
SHP0043,Normal,140.0,140.0,112.0,0.9,88.25463941743011,77.59856630824372,83.5911861228317,90.0,85.1815386559848
SHP0044,Normal,234.0,187.0,187.20000000000002,0.9,66.17336152219873,56.54121863799283,61.556493202062825,90.0,69.98994368046046
SHP0045,Normal,128.0,134.0,102.4,0.9,91.07352595724689,80.28673835125448,86.40412564463197,90.0,87.12089120605174
SHP0046,Normal,270.0,205.0,216.0,0.9,57.716701902748426,48.47670250896057,53.11767463666198,90.0,64.17188603025964
SHP0047,Normal,210.0,175.0,168.0,0.9,71.81113460183228,61.91756272401433,67.18237224566339,90.0,73.86864878059433
SHP0048,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0049,Normal,136.0,138.0,108.80000000000001,0.9,89.1942682640357,78.49462365591397,84.52883263009845,90.0,85.8279895060071
SHP0050,Normal,148.0,144.0,118.4,0.9,86.37538172421894,75.80645161290323,81.71589310829816,90.0,83.88863695594017
SHP0051,Normal,156.0,148.0,124.80000000000001,0.9,84.49612403100775,74.01433691756272,79.84060009376465,90.0,82.59573525589555
SHP0052,Normal,208.0,174.0,166.4,0.9,72.28094902513507,62.365591397849464,67.65119549929676,90.0,74.19187420560549
SHP0053,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0054,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0055,Normal,204.0,172.0,163.20000000000002,0.9,73.22057787174067,63.261648745519715,68.58884200656352,90.0,74.83832505562779
SHP0056,Normal,222.0,181.0,177.60000000000002,0.9,68.9922480620155,59.22939068100358,64.3694327238631,90.0,71.92929623052738
SHP0057,Normal,232.0,186.0,185.60000000000002,0.9,66.64317594550153,56.98924731182795,62.0253164556962,90.0,70.31316910547162
SHP0058,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0059,Normal,110.0,125.0,88.0,0.9,95.30185576697204,84.31899641577061,90.6235349273324,90.0,90.02992003115214
SHP0060,Normal,132.0,136.0,105.60000000000001,0.9,90.13389711064129,79.39068100358423,85.4664791373652,90.0,86.47444035602942
SHP0061,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0062,Normal,196.0,168.0,156.8,0.9,75.09983556495185,65.05376344086021,70.46413502109704,90.0,76.13122675567243
SHP0063,Normal,148.0,144.0,118.4,0.9,86.37538172421894,75.80645161290323,81.71589310829816,90.0,83.88863695594017
SHP0064,Normal,294.0,217.0,235.20000000000002,0.9,52.07892882311488,43.10035842293907,47.49179559306141,90.0,60.29318093012577
SHP0065,Normal,166.0,153.0,132.8,0.9,82.14705191449377,71.7741935483871,77.49648382559775,90.0,80.97960813083978
SHP0066,Normal,188.0,164.0,150.4,0.9,76.97909325816302,66.84587813620072,72.33942803563058,90.0,77.42412845571704
SHP0067,Normal,160.0,150.0,128.0,0.9,83.55649518440215,73.11827956989248,78.90295358649789,90.0,81.94928440587323
SHP0068,Normal,244.0,192.0,195.20000000000002,0.9,63.82428940568475,54.3010752688172,59.21237693389592,90.0,68.37381655540467
SHP0069,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0070,Normal,142.0,141.0,113.60000000000001,0.9,87.78482499412732,77.15053763440861,83.12236286919831,90.0,84.85831323097365
SHP0071,Normal,158.0,149.0,126.4,0.9,84.02630960770496,73.56630824372759,79.37177684013126,90.0,82.27250983088439
SHP0072,Normal,220.0,180.0,176.0,0.9,69.4620624853183,59.67741935483871,64.83825597749649,90.0,72.25252165553854
SHP0073,Normal,214.0,177.0,171.20000000000002,0.9,70.87150575522669,61.02150537634409,66.24472573839662,90.0,73.22219793057202
SHP0074,Normal,240.0,190.0,192.0,0.9,64.76391825229035,55.19713261648745,60.15002344116268,90.0,69.02026740542699
SHP0075,Normal,158.0,149.0,126.4,0.9,84.02630960770496,73.56630824372759,79.37177684013126,90.0,82.27250983088439
SHP0076,Normal,118.0,129.0,94.4,0.9,93.42259807376087,82.52688172043011,88.74824191279886,90.0,88.73701833110752
SHP0077,Normal,178.0,159.0,142.4,0.9,79.32816537467701,69.08602150537634,74.68354430379746,90.0,79.04025558077284
SHP0078,Normal,148.0,144.0,118.4,0.9,86.37538172421894,75.80645161290323,81.71589310829816,90.0,83.88863695594017
SHP0079,Normal,230.0,185.0,184.0,0.9,67.11299036880433,57.437275985663085,62.49413970932959,90.0,70.63639453048278
SHP0080,Normal,178.0,159.0,142.4,0.9,79.32816537467701,69.08602150537634,74.68354430379746,90.0,79.04025558077284
SHP0081,Normal,196.0,168.0,156.8,0.9,75.09983556495185,65.05376344086021,70.46413502109704,90.0,76.13122675567243
SHP0082,Normal,160.0,150.0,128.0,0.9,83.55649518440215,73.11827956989248,78.90295358649789,90.0,81.94928440587323
SHP0083,Normal,182.0,161.0,145.6,0.9,78.38853652807141,68.1899641577061,73.74589779653071,90.0,78.39380473075052
SHP0084,Normal,190.0,165.0,152.0,0.9,76.50927883486023,66.39784946236558,71.87060478199719,90.0,77.1009030307059
SHP0085,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0086,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0087,Normal,212.0,176.0,169.60000000000002,0.9,71.34132017852949,61.469534050179206,66.71354899203,90.0,73.54542335558318
SHP0088,Normal,158.0,149.0,126.4,0.9,84.02630960770496,73.56630824372759,79.37177684013126,90.0,82.27250983088439
SHP0089,Normal,138.0,139.0,110.4,0.9,88.7244538407329,78.04659498207886,84.06000937646506,90.0,85.50476408099595
SHP0090,Normal,222.0,181.0,177.60000000000002,0.9,68.9922480620155,59.22939068100358,64.3694327238631,90.0,71.92929623052738
SHP0091,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0092,Normal,100.0,120.0,80.0,0.9,97.65092788348603,86.55913978494624,92.9676511954993,90.0,91.64604715620793
SHP0093,Normal,178.0,159.0,142.4,0.9,79.32816537467701,69.08602150537634,74.68354430379746,90.0,79.04025558077284
SHP0094,Normal,322.0,231.0,257.6,0.9,45.50152689687574,36.827956989247305,40.92827004219409,90.0,55.76802497996958
SHP0095,Normal,286.0,213.0,228.8,0.9,53.95818651632606,44.89247311827957,49.36708860759494,90.0,61.586082630170395
SHP0096,Normal,174.0,157.0,139.20000000000002,0.9,80.2677942212826,69.98207885304659,75.62119081106424,90.0,79.68670643079514
SHP0097,Normal,270.0,205.0,216.0,0.9,57.716701902748426,48.47670250896057,53.11767463666198,90.0,64.17188603025964
SHP0098,Normal,114.0,127.0,91.2,0.9,94.36222692036645,83.42293906810035,89.68588842006564,90.0,89.38346918112984
SHP0099,Normal,188.0,164.0,150.4,0.9,76.97909325816302,66.84587813620072,72.33942803563058,90.0,77.42412845571704
SHP0100,Normal,244.0,192.0,195.20000000000002,0.9,63.82428940568475,54.3010752688172,59.21237693389592,90.0,68.37381655540467
SHP0101,Normal,138.0,139.0,110.4,0.9,88.7244538407329,78.04659498207886,84.06000937646506,90.0,85.50476408099595
