vehicle_id,vehicle_type,capacity_kg,active
V001,Refrigerated Van,500,True
V002,Refrigerated Truck,2000,True
V003,Refrigerated Van,750,True
V004,Refrigerated Van,500,True
V005,Refrigerated Truck,1500,True
V006,Refrigerated Van,500,True
V007,Refrigerated Van,750,True
V008,Refrigerated Van,750,True
V009,Refrigerated Truck,2000,True
V010,Refrigerated Truck,2500,True
V011,Refrigerated Van,750,True
V012,Refrigerated Truck,2500,True
V013,Refrigerated Truck,2000,True
V014,Refrigerated Van,1000,True
V015,Refrigerated Van,500,True
V016,Refrigerated Truck,1500,True
V017,Refrigerated Truck,2500,True
V018,Refrigerated Truck,1500,True
V019,Refrigerated Truck,1500,True
V020,Refrigerated Truck,1500,True
V021,Refrigerated Truck,2500,True
V022,Refrigerated Van,500,True
V023,Refrigerated Van,750,True
V024,Refrigerated Truck,1500,True
V025,Refrigerated Van,500,True
V026,Refrigerated Truck,2500,True
V027,Refrigerated Truck,2500,True
V028,Refrigerated Van,1000,True
V029,Refrigerated Truck,2000,True
V030,Refrigerated Truck,1500,True
V031,Refrigerated Van,750,True
V032,Refrigerated Van,1200,True
V033,Refrigerated Truck,2500,True
V034,Refrigerated Van,1000,True
V035,Refrigerated Van,750,True
V036,Refrigerated Van,1000,True
V037,Refrigerated Truck,2500,True
V038,Refrigerated Van,750,True
V039,Refrigerated Truck,2000,True
V040,Refrigerated Truck,3000,True
V041,Refrigerated Truck,2000,True
V042,Refrigerated Truck,2000,True
V043,Refrigerated Van,1000,True
V044,Refrigerated Truck,3000,True
V045,Refrigerated Truck,2000,True
V046,Refrigerated Van,1200,True
V047,Refrigerated Van,500,True
V048,Refrigerated Van,750,True
V049,Refrigerated Van,1200,True
V050,Refrigerated Van,1200,True
V051,Refrigerated Truck,3000,True
V052,Refrigerated Truck,1500,True
V053,Refrigerated Van,1000,True
V054,Refrigerated Truck,1500,True
V055,Refrigerated Truck,3000,True
V056,Refrigerated Van,1200,True
V057,Refrigerated Van,1000,True
V058,Refrigerated Van,500,True
V059,Refrigerated Truck,2000,True
V060,Refrigerated Van,1000,True
V061,Refrigerated Van,500,True
V062,Refrigerated Truck,3000,True
V063,Refrigerated Van,500,True
V064,Refrigerated Truck,2500,True
V065,Refrigerated Van,500,True
V066,Refrigerated Van,500,True
V067,Refrigerated Van,1200,True
V068,Refrigerated Van,750,True
V069,Refrigerated Van,1200,True
V070,Refrigerated Van,1000,True
V071,Refrigerated Truck,2000,True
V072,Refrigerated Van,1000,True
V073,Refrigerated Truck,2500,True
V074,Refrigerated Truck,3000,True
V075,Refrigerated Van,750,True
V076,Refrigerated Van,500,True
V077,Refrigerated Truck,1500,True
V078,Refrigerated Van,750,True
V079,Refrigerated Van,500,True
V080,Refrigerated Van,750,True
V081,Refrigerated Van,500,True
V082,Refrigerated Truck,1500,True
V083,Refrigerated Van,1000,True
V084,Refrigerated Truck,2000,True
V085,Refrigerated Van,1200,True
V086,Refrigerated Van,1200,True
V087,Refrigerated Truck,2000,True
V088,Refrigerated Van,500,True
V089,Refrigerated Truck,2500,True
V090,Refrigerated Truck,3000,True
V091,Refrigerated Truck,1500,True
V092,Refrigerated Van,500,True
V093,Refrigerated Truck,2500,True
V094,Refrigerated Van,750,True
V095,Refrigerated Van,750,True
V096,Refrigerated Truck,2000,True
V097,Refrigerated Truck,2000,True
V098,Refrigerated Truck,3000,True
V099,Refrigerated Van,500,True
V100,Refrigerated Truck,1500,True
